Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-11-19 11:26:14,dmg,375,-2.44613968e-10,53.75,27.25
2021-11-19 11:27:04,dmg,375,3.42023704e-05,53.25,27.25
2021-11-19 11:27:54,dmg,375,3.42320745e-05,52.75,27.5
2021-11-19 11:28:44,dmg,375,3.41132509e-05,52.5,27.5
2021-11-19 11:29:34,dmg,375,3.41503801e-05,52.0,27.5
2021-11-19 11:30:24,dmg,375,3.41095365e-05,51.5,27.0
2021-11-19 11:31:14,dmg,375,3.40575534e-05,51.25,27.0
2021-11-19 11:32:04,dmg,375,3.42766361e-05,50.75,27.5
2021-11-19 11:32:54,dmg,375,3.40018523e-05,50.25,27.75
2021-11-19 11:33:44,dmg,375,3.40204169e-05,50.0,27.0
2021-11-19 11:34:34,dmg,375,3.40241349e-05,49.5,26.75
2021-11-19 11:35:24,dmg,375,3.4053839e-05,49.0,26.5
2021-11-19 11:36:14,dmg,375,3.40464139e-05,48.75,26.75
2021-11-19 11:37:04,dmg,375,3.40686929e-05,48.5,26.5
2021-11-19 11:37:54,dmg,375,3.4168952e-05,48.25,26.5
2021-11-19 11:38:44,dmg,375,3.40946826e-05,47.75,26.5
2021-11-19 11:39:34,dmg,375,3.39572944e-05,47.5,26.0
2021-11-19 11:40:24,dmg,375,3.4191231e-05,47.0,26.0
2021-11-19 11:41:14,dmg,375,3.41132509e-05,46.5,25.75
2021-11-19 11:42:04,dmg,375,3.41021114e-05,46.25,25.75
2021-11-19 11:42:54,dmg,375,3.40464139e-05,46.0,25.75
2021-11-19 11:43:44,dmg,375,3.41095365e-05,45.75,25.75
2021-11-19 11:44:35,dmg,375,3.4146673e-05,45.25,25.75
2021-11-19 11:45:25,dmg,375,3.41132509e-05,45.0,25.75
2021-11-19 11:46:15,dmg,375,3.4120676e-05,44.75,25.75
2021-11-19 11:47:05,dmg,375,3.40686929e-05,44.5,25.75
2021-11-19 11:47:55,dmg,375,3.41726591e-05,44.25,25.5
2021-11-19 11:48:45,dmg,375,3.41058221e-05,43.75,25.75
2021-11-19 11:49:35,dmg,375,3.4124394e-05,43.5,25.5
2021-11-19 11:50:25,dmg,375,3.4050121e-05,43.25,25.5
2021-11-19 11:51:15,dmg,375,3.41318155e-05,43.0,25.75
2021-11-19 11:52:05,dmg,375,3.4027842e-05,42.75,25.5
2021-11-19 11:52:55,dmg,375,3.40724e-05,42.5,25.5
2021-11-19 11:53:45,dmg,375,3.4053839e-05,42.0,25.5
2021-11-19 11:54:35,dmg,375,3.41318155e-05,41.75,25.5
