Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-08-17 15:53:54,M114L02,375,5.1799685e-05,23.5,24.75
2021-08-17 15:54:05,M114L02,375,5.19222231e-05,23.5,24.75
2021-08-17 15:54:08,M114L02,375,5.18256784e-05,23.5,25.0
2021-08-17 15:54:10,M114L02,375,5.18293891e-05,23.5,25.0
2021-08-17 15:54:12,M114L02,375,5.17811204e-05,23.5,24.75
2021-08-17 15:54:14,M114L02,375,5.1821964e-05,23.25,24.75
2021-08-17 15:54:16,M114L02,375,5.17811204e-05,23.25,24.75
2021-08-17 15:54:19,M114L02,375,5.17662629e-05,23.25,24.75
2021-08-17 15:54:21,M114L02,375,5.17402696e-05,23.25,24.75
2021-08-17 15:54:23,M114L02,375,5.17848275e-05,23.5,25.0
2021-08-17 15:54:25,M114L02,375,5.17328444e-05,23.25,25.0
2021-08-17 15:54:27,M114L02,375,5.17662629e-05,23.25,25.0
2021-08-17 15:54:29,M114L02,375,5.17699809e-05,23.25,25.0
2021-08-17 15:54:32,M114L02,375,5.18182496e-05,23.25,25.0
2021-08-17 15:54:34,M114L02,375,5.18108245e-05,23.25,25.0
2021-08-17 15:54:36,M114L02,375,5.18293891e-05,23.25,25.0
2021-08-17 15:54:38,M114L02,375,5.17848275e-05,23.25,25.0
2021-08-17 15:54:40,M114L02,375,5.18145389e-05,23.0,25.0
2021-08-17 15:54:43,M114L02,375,5.18962261e-05,23.25,25.0
2021-08-17 15:54:45,M114L02,375,5.18479574e-05,23.25,24.75
2021-08-17 15:54:47,M114L02,375,5.17588414e-05,23.25,24.75
2021-08-17 15:54:49,M114L02,375,5.18331035e-05,23.0,25.0
2021-08-17 15:54:51,M114L02,375,5.17142798e-05,23.0,25.0
2021-08-17 15:54:53,M114L02,375,5.18033994e-05,23.0,24.75
2021-08-17 15:54:56,M114L02,375,5.18033994e-05,23.25,25.0
2021-08-17 15:54:58,M114L02,375,5.17885455e-05,23.0,24.75
2021-08-17 15:55:00,M114L02,375,5.17402696e-05,23.0,24.75
2021-08-17 15:55:04,M114L02,375,5.17328444e-05,23.0,24.75
2021-08-17 15:55:09,M114L02,375,5.18108245e-05,23.0,24.75
2021-08-17 15:55:14,M114L02,375,5.17885455e-05,23.0,24.75
2021-08-17 15:55:19,M114L02,375,5.17588414e-05,23.0,24.75
2021-08-17 15:55:24,M114L02,375,5.17476983e-05,23.0,24.75
2021-08-17 15:55:29,M114L02,375,5.17328444e-05,23.0,24.75
2021-08-17 15:55:34,M114L02,375,5.17625485e-05,23.0,24.75
2021-08-17 15:55:39,M114L02,375,5.1751409e-05,23.0,24.75
2021-08-17 15:55:44,M114L02,375,5.17476983e-05,23.0,24.75
2021-08-17 15:55:49,M114L02,375,5.17179906e-05,22.75,24.75
2021-08-17 15:55:54,M114L02,375,5.17291301e-05,23.0,24.75
2021-08-17 15:55:59,M114L02,375,5.1844243e-05,23.0,24.75
2021-08-17 15:56:04,M114L02,375,5.17885455e-05,23.0,24.75
2021-08-17 15:56:09,M114L02,375,5.17588414e-05,23.0,24.75
2021-08-17 15:56:14,M114L02,375,5.17439839e-05,23.0,24.75
2021-08-17 15:56:19,M114L02,375,5.17476983e-05,23.0,24.75
2021-08-17 15:56:24,M114L02,375,5.1751409e-05,23.0,24.75
2021-08-17 15:56:29,M114L02,375,5.17105655e-05,23.0,24.75
2021-08-17 15:56:34,M114L02,375,5.17105655e-05,22.75,24.75
2021-08-17 15:56:39,M114L02,375,5.17439839e-05,23.0,24.75
2021-08-17 15:56:45,M114L02,375,5.16771433e-05,22.75,24.75
2021-08-17 15:56:50,M114L02,375,5.16920009e-05,23.0,24.75
2021-08-17 15:56:55,M114L02,375,5.16882865e-05,22.75,24.75
2021-08-17 15:57:00,M114L02,375,5.16920009e-05,23.0,25.0
2021-08-17 15:57:05,M114L02,375,5.16697219e-05,23.0,24.75
2021-08-17 15:57:10,M114L02,375,5.16660039e-05,23.0,24.75
2021-08-17 15:57:15,M114L02,375,5.165115e-05,23.0,24.75
2021-08-17 15:57:20,M114L02,375,5.16585787e-05,23.0,24.75
2021-08-17 15:57:25,M114L02,375,5.16882865e-05,23.0,24.75
2021-08-17 15:57:30,M114L02,375,5.16325854e-05,23.0,24.75
2021-08-17 15:57:35,M114L02,375,5.1695708e-05,23.0,24.75
2021-08-17 15:57:40,M114L02,375,5.16808614e-05,23.0,24.5
