Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-08-17 15:48:49,TP01569816,375,3.25239635e-05,22.75,24.5
2021-08-17 15:49:00,TP01569816,375,3.253881e-05,22.75,24.5
2021-08-17 15:49:03,TP01569816,375,3.26019399e-05,22.75,24.5
2021-08-17 15:49:05,TP01569816,375,3.26539266e-05,22.75,24.5
2021-08-17 15:49:07,TP01569816,375,3.25573819e-05,22.75,24.5
2021-08-17 15:49:09,TP01569816,375,3.26465015e-05,22.75,24.5
2021-08-17 15:49:11,TP01569816,375,3.26724912e-05,22.75,24.5
2021-08-17 15:49:14,TP01569816,375,3.25499495e-05,22.75,24.5
2021-08-17 15:49:16,TP01569816,375,3.25796609e-05,22.75,24.5
2021-08-17 15:49:18,TP01569816,375,3.25685214e-05,22.75,24.5
2021-08-17 15:49:20,TP01569816,375,3.25462424e-05,22.75,24.5
2021-08-17 15:49:22,TP01569816,375,3.2561089e-05,22.75,24.5
2021-08-17 15:49:25,TP01569816,375,3.25202454e-05,22.75,24.75
2021-08-17 15:49:27,TP01569816,375,3.26019399e-05,22.75,24.5
2021-08-17 15:49:29,TP01569816,375,3.253881e-05,22.75,24.5
2021-08-17 15:49:32,TP01569816,375,3.25685214e-05,22.75,24.5
2021-08-17 15:49:34,TP01569816,375,3.25573819e-05,22.75,24.5
2021-08-17 15:49:36,TP01569816,375,3.25239635e-05,22.75,24.5
2021-08-17 15:49:38,TP01569816,375,3.26019399e-05,22.75,24.5
2021-08-17 15:49:40,TP01569816,375,3.26242225e-05,22.75,24.5
2021-08-17 15:49:43,TP01569816,375,3.2561089e-05,22.75,24.5
2021-08-17 15:49:45,TP01569816,375,3.26390691e-05,22.75,24.5
2021-08-17 15:49:47,TP01569816,375,3.25573819e-05,22.75,24.5
2021-08-17 15:49:49,TP01569816,375,3.25573819e-05,22.75,24.5
2021-08-17 15:49:51,TP01569816,375,3.26019399e-05,22.75,24.5
2021-08-17 15:49:53,TP01569816,375,3.25685214e-05,22.75,24.5
2021-08-17 15:49:56,TP01569816,375,3.253881e-05,22.75,24.5
2021-08-17 15:49:58,TP01569816,375,3.25276706e-05,22.75,24.5
2021-08-17 15:50:00,TP01569816,375,3.25276706e-05,22.75,24.5
2021-08-17 15:50:02,TP01569816,375,3.2561089e-05,22.75,24.5
2021-08-17 15:50:04,TP01569816,375,3.24831126e-05,22.75,24.5
2021-08-17 15:50:07,TP01569816,375,3.2564807e-05,22.75,24.5
2021-08-17 15:50:11,TP01569816,375,3.25908004e-05,22.75,24.5
2021-08-17 15:50:16,TP01569816,375,3.25796609e-05,22.75,24.5
2021-08-17 15:50:21,TP01569816,375,3.25239635e-05,22.75,24.5
2021-08-17 15:50:26,TP01569816,375,3.2561089e-05,22.75,24.5
2021-08-17 15:50:31,TP01569816,375,3.26019399e-05,22.75,24.5
2021-08-17 15:50:36,TP01569816,375,3.25759465e-05,22.75,24.5
2021-08-17 15:50:41,TP01569816,375,3.25425281e-05,22.75,24.5
2021-08-17 15:50:46,TP01569816,375,3.25313849e-05,22.75,24.5
2021-08-17 15:50:51,TP01569816,375,3.25313849e-05,22.75,24.5
2021-08-17 15:50:56,TP01569816,375,3.25536676e-05,22.75,24.5
