Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2022-03-07 15:13:28,dmg,375,3.31886404e-05,79.25,26.25
2022-03-07 15:14:31,dmg,375,3.32814743e-05,79.0,26.5
2022-03-07 15:15:06,dmg,375,3.32703348e-05,78.25,26.5
2022-03-07 15:15:56,dmg,375,3.32888994e-05,77.5,26.5
2022-03-07 15:16:46,dmg,375,3.32517629e-05,77.0,26.5
2022-03-07 15:17:36,dmg,375,3.32369164e-05,76.25,26.5
2022-03-07 15:18:26,dmg,375,3.3207205e-05,75.75,26.5
2022-03-07 15:19:16,dmg,375,3.31515039e-05,75.0,26.5
2022-03-07 15:20:06,dmg,375,3.30661023e-05,74.25,26.5
2022-03-07 15:20:56,dmg,375,3.30920957e-05,73.5,26.25
2022-03-07 15:21:46,dmg,375,3.31032388e-05,73.0,26.25
2022-03-07 15:22:36,dmg,375,3.32257769e-05,72.25,26.25
2022-03-07 15:23:26,dmg,375,3.31106603e-05,71.5,26.25
2022-03-07 15:24:17,dmg,375,3.30958064e-05,70.75,26.25
2022-03-07 15:25:07,dmg,375,3.30920957e-05,70.25,26.25
2022-03-07 15:25:57,dmg,375,3.31217998e-05,69.5,26.0
2022-03-07 15:26:47,dmg,375,3.30772418e-05,69.0,26.0
2022-03-07 15:27:37,dmg,375,3.31292249e-05,68.25,26.0
2022-03-07 15:28:27,dmg,375,3.30883813e-05,67.5,26.0
2022-03-07 15:29:17,dmg,375,3.31106603e-05,67.0,26.0
2022-03-07 15:30:07,dmg,375,3.31589363e-05,66.5,26.0
2022-03-07 15:30:57,dmg,375,3.31217998e-05,65.5,26.0
2022-03-07 15:31:47,dmg,375,3.30883813e-05,65.0,26.0
2022-03-07 15:32:37,dmg,375,3.31255178e-05,64.5,25.75
2022-03-07 15:33:27,dmg,375,3.30846669e-05,63.75,25.75
2022-03-07 15:34:17,dmg,375,3.30995208e-05,63.25,25.75
2022-03-07 15:35:07,dmg,375,3.30846669e-05,62.75,25.75
2022-03-07 15:35:57,dmg,375,3.30289658e-05,62.0,25.75
2022-03-07 15:36:47,dmg,375,3.31032388e-05,61.5,25.75
2022-03-07 15:37:37,dmg,375,3.30289658e-05,61.0,25.75
2022-03-07 15:38:27,dmg,375,3.30549628e-05,60.25,25.75
2022-03-07 15:39:17,dmg,375,3.29918366e-05,59.75,25.75
