Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-11-03 15:10:36,new,375,2.24570451e-09,23.75,25.0
2021-11-03 15:10:44,new,375,4.31179942e-05,23.75,25.0
2021-11-03 15:10:47,new,375,4.30920045e-05,23.75,25.0
2021-11-03 15:10:50,new,375,4.33073728e-05,23.75,25.0
2021-11-03 15:10:54,new,375,4.34521899e-05,23.75,25.0
2021-11-03 15:10:57,new,375,4.31068547e-05,23.75,25.0
2021-11-03 15:11:00,new,375,4.3032589e-05,24.0,25.0
2021-11-03 15:11:03,new,375,4.3103144e-05,24.0,25.0
2021-11-03 15:11:06,new,375,4.29880311e-05,24.0,25.0
2021-11-03 15:11:10,new,375,4.30622931e-05,24.0,25.0
2021-11-03 15:11:13,new,375,4.30697255e-05,24.0,25.0
2021-11-03 15:11:16,new,375,4.30845721e-05,24.0,25.0
2021-11-03 15:11:19,new,375,4.31885492e-05,24.0,25.0
2021-11-03 15:11:23,new,375,4.30734326e-05,23.75,25.0
2021-11-03 15:11:28,new,375,4.30660075e-05,24.0,25.0
2021-11-03 15:11:33,new,375,4.31848312e-05,24.0,25.0
2021-11-03 15:11:38,new,375,4.32405322e-05,23.75,25.0
2021-11-03 15:11:43,new,375,4.29360443e-05,23.75,25.0
2021-11-03 15:11:48,new,375,4.30622931e-05,23.75,24.75
2021-11-03 15:11:53,new,375,4.30437285e-05,23.75,25.0
2021-11-03 15:11:58,new,375,4.30882901e-05,23.75,25.0
2021-11-03 15:12:03,new,375,4.31959743e-05,23.75,25.0
2021-11-03 15:12:08,new,375,4.28914864e-05,23.75,25.0
2021-11-03 15:12:13,new,375,4.30660075e-05,23.75,25.0
2021-11-03 15:12:18,new,375,4.31514127e-05,23.75,25.0
