Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-11-11 11:40:00,dmg,375,3.39907128e-05,22.75,26.25
2021-11-11 11:40:50,dmg,375,3.39164508e-05,22.75,26.25
2021-11-11 11:41:40,dmg,375,3.39015933e-05,22.75,26.25
2021-11-11 11:42:30,dmg,375,3.39238759e-05,22.75,26.25
2021-11-11 11:43:20,dmg,375,3.42952007e-05,22.75,26.25
2021-11-11 11:44:10,dmg,375,3.42617786e-05,22.75,26.25
2021-11-11 11:45:00,dmg,375,3.43174797e-05,22.75,26.25
2021-11-11 11:45:50,dmg,375,3.429149e-05,22.75,26.0
2021-11-11 11:46:40,dmg,375,3.43397587e-05,23.0,26.0
2021-11-11 11:47:30,dmg,375,3.41875166e-05,22.75,25.75
2021-11-11 11:48:20,dmg,375,3.42654967e-05,22.75,25.75
2021-11-11 11:49:10,dmg,375,3.43249121e-05,23.0,25.75
2021-11-11 11:50:00,dmg,375,3.42283602e-05,22.75,25.75
2021-11-11 11:50:50,dmg,375,3.42135099e-05,22.75,25.75
2021-11-11 11:51:40,dmg,375,3.41949417e-05,22.75,26.0
2021-11-11 11:52:30,dmg,375,3.43174797e-05,22.75,25.75
2021-11-11 11:53:20,dmg,375,3.42357926e-05,22.75,25.75
2021-11-11 11:54:10,dmg,375,3.42172207e-05,22.75,26.0
2021-11-11 11:55:00,dmg,375,3.42580715e-05,22.75,26.0
2021-11-11 11:55:50,dmg,375,3.4243214e-05,22.75,26.0
2021-11-11 11:56:40,dmg,375,3.42580715e-05,22.75,25.75
2021-11-11 11:57:30,dmg,375,3.42543572e-05,22.75,25.75
2021-11-11 11:58:20,dmg,375,3.42172207e-05,22.75,25.75
2021-11-11 11:59:10,dmg,375,3.43211941e-05,22.75,25.75
2021-11-11 12:00:00,dmg,375,3.42580715e-05,22.75,25.75
2021-11-11 12:00:50,dmg,375,3.4142955e-05,22.75,25.75
2021-11-11 12:01:41,dmg,375,3.42729181e-05,22.75,25.5
2021-11-11 12:02:31,dmg,375,3.43063402e-05,22.75,25.75
2021-11-11 12:03:21,dmg,375,3.43026295e-05,22.75,25.75
2021-11-11 12:04:11,dmg,375,3.42654967e-05,22.75,25.75
2021-11-11 12:05:01,dmg,375,3.43026295e-05,22.75,25.75
2021-11-11 12:05:51,dmg,375,3.42357926e-05,22.75,25.5
2021-11-11 12:06:41,dmg,375,3.42394997e-05,23.0,25.75
2021-11-11 12:07:31,dmg,375,3.42320745e-05,23.0,25.75
2021-11-11 12:08:21,dmg,375,3.42580715e-05,22.75,25.75
2021-11-11 12:09:11,dmg,375,3.43100546e-05,22.75,25.75
2021-11-11 12:10:01,dmg,375,3.429149e-05,23.0,25.75
2021-11-11 12:10:51,dmg,375,3.42617786e-05,22.75,25.75
2021-11-11 12:11:41,dmg,375,3.41355335e-05,22.75,25.5
2021-11-11 12:12:31,dmg,375,3.43026295e-05,22.75,25.75
2021-11-11 12:13:21,dmg,375,3.43471911e-05,22.75,25.75
2021-11-11 12:14:11,dmg,375,3.44028886e-05,22.75,25.75
2021-11-11 12:15:01,dmg,375,3.43508982e-05,22.75,25.5
2021-11-11 12:15:51,dmg,375,3.43806096e-05,22.75,25.5
2021-11-11 12:16:41,dmg,375,3.43323336e-05,22.75,25.75
2021-11-11 12:17:31,dmg,375,3.41800915e-05,22.75,25.5
2021-11-11 12:18:21,dmg,375,3.43100546e-05,22.75,25.5
2021-11-11 12:19:11,dmg,375,3.42506391e-05,23.0,25.5
2021-11-11 12:20:01,dmg,375,3.42617786e-05,23.0,25.75
