Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-10-11 13:04:21,dmg,375,5.35927247e-10,86.25,25.25
2021-10-11 13:05:24,dmg,375,2.78526331e-05,71.0,25.75
2021-10-11 13:05:57,dmg,375,2.78192128e-05,79.5,25.75
2021-10-11 13:06:47,dmg,375,2.77783693e-05,80.25,25.75
2021-10-11 13:07:37,dmg,375,2.76001301e-05,80.0,25.75
2021-10-11 13:08:27,dmg,375,2.75481434e-05,79.0,25.5
2021-10-11 13:09:17,dmg,375,2.76298342e-05,78.25,25.5
2021-10-11 13:10:07,dmg,375,2.77338095e-05,77.0,25.75
2021-10-11 13:10:57,dmg,375,2.76409737e-05,76.25,26.0
2021-10-11 13:11:47,dmg,375,2.76706814e-05,75.0,26.0
2021-10-11 13:12:37,dmg,375,2.75407147e-05,74.0,26.25
2021-10-11 13:13:27,dmg,375,2.75778511e-05,73.25,26.25
2021-10-11 13:14:17,dmg,375,2.74924441e-05,72.25,26.5
2021-10-11 13:15:07,dmg,375,2.75407147e-05,71.25,26.25
2021-10-11 13:15:57,dmg,375,2.75889906e-05,70.25,26.5
2021-10-11 13:16:47,dmg,375,2.75444308e-05,69.5,26.75
2021-10-11 13:17:37,dmg,375,2.75518541e-05,68.75,26.75
2021-10-11 13:18:27,dmg,375,2.75852744e-05,68.0,26.5
2021-10-11 13:19:17,dmg,375,2.76149822e-05,67.25,26.5
