Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-10-08 14:00:35,dmg,375,4.24432711e-10,44.5,23.5
2021-10-08 14:01:25,dmg,375,4.61606392e-10,53.5,23.5
2021-10-08 14:02:16,dmg,375,4.98753538e-10,60.5,23.75
2021-10-08 14:03:06,dmg,375,6.10274609e-10,68.25,23.5
2021-10-08 14:03:56,dmg,375,6.10274609e-10,74.75,23.5
2021-10-08 14:04:46,dmg,375,2.01417147e-10,81.0,23.5
2021-10-08 14:05:36,dmg,375,6.47448262e-10,86.75,23.5
2021-10-08 14:06:26,dmg,375,2.75764522e-10,92.25,23.75
2021-10-08 14:07:16,dmg,375,2.75764522e-10,94.75,23.75
2021-10-08 14:08:06,dmg,375,2.38590842e-10,92.5,23.75
2021-10-08 14:08:56,dmg,375,5.35927247e-10,90.25,23.75
2021-10-08 14:09:46,dmg,375,6.10274609e-10,88.75,23.75
2021-10-08 14:10:36,dmg,375,3.12911669e-10,86.75,24.0
2021-10-08 14:11:26,dmg,375,2.38590842e-10,85.5,24.0
2021-10-08 14:12:16,dmg,375,3.8725903e-10,84.25,24.0
2021-10-08 14:13:06,dmg,375,2.38590842e-10,82.75,24.0
2021-10-08 14:13:56,dmg,375,2.75764522e-10,81.75,24.25
2021-10-08 14:14:46,dmg,375,2.75764522e-10,80.75,24.0
2021-10-08 14:15:36,dmg,375,6.10274609e-10,80.0,24.25
2021-10-08 14:16:26,dmg,375,2.75764522e-10,79.0,24.25
2021-10-08 14:17:16,dmg,375,7.58942797e-10,80.25,24.25
2021-10-08 14:18:06,dmg,375,6.8462197e-10,84.5,24.25
2021-10-08 14:18:56,dmg,375,7.21769144e-10,83.0,24.5
2021-10-08 14:19:46,dmg,375,7.21769144e-10,82.0,24.5
2021-10-08 14:20:36,dmg,375,1.27069785e-10,81.25,24.5
2021-10-08 14:21:26,dmg,375,5.731009e-10,80.25,24.75
2021-10-08 14:22:16,dmg,375,2.01417147e-10,79.5,24.5
2021-10-08 14:23:07,dmg,375,1.64243466e-10,80.5,24.75
2021-10-08 14:23:57,dmg,375,2.38590842e-10,85.25,24.75
2021-10-08 14:24:47,dmg,375,2.38590842e-10,83.75,25.0
2021-10-08 14:25:37,dmg,375,7.21769144e-10,82.5,25.0
2021-10-08 14:26:27,dmg,375,1.64243466e-10,81.5,25.0
2021-10-08 14:27:17,dmg,375,6.47448262e-10,81.0,25.0
2021-10-08 14:28:07,dmg,375,6.10274609e-10,79.5,25.0
2021-10-08 14:28:57,dmg,375,2.38590842e-10,82.0,25.0
2021-10-08 14:29:47,dmg,375,8.99226388e-11,85.5,25.25
2021-10-08 14:30:37,dmg,375,2.01417147e-10,83.75,25.25
2021-10-08 14:31:27,dmg,375,1.27069785e-10,82.25,25.25
2021-10-08 14:32:17,dmg,375,-1.7026662e-10,81.75,25.25
2021-10-08 14:33:07,dmg,375,2.01417147e-10,80.75,25.25
2021-10-08 14:33:57,dmg,375,1.27069785e-10,79.5,25.5
2021-10-08 14:34:47,dmg,375,-2.44613968e-10,84.75,25.25
2021-10-08 14:35:37,dmg,375,-5.87720983e-11,85.25,25.5
2021-10-08 14:36:27,dmg,375,2.01417147e-10,83.5,25.25
2021-10-08 14:37:17,dmg,375,-1.33092926e-10,82.5,25.25
2021-10-08 14:38:07,dmg,375,2.38590842e-10,82.0,25.5
2021-10-08 14:38:57,dmg,375,8.99226388e-11,80.5,25.25
2021-10-08 14:39:47,dmg,375,-5.87720983e-11,81.0,25.5
2021-10-08 14:40:37,dmg,375,-2.07440301e-10,85.5,25.5
2021-10-08 14:41:28,dmg,375,-1.33092926e-10,84.75,25.5
2021-10-08 14:42:18,dmg,375,2.38590842e-10,83.25,25.5
2021-10-08 14:43:08,dmg,375,-1.33092926e-10,82.0,25.5
2021-10-08 14:43:58,dmg,375,-2.44613968e-10,81.5,25.75
2021-10-08 14:44:48,dmg,375,2.01417147e-10,80.0,25.75
2021-10-08 14:45:38,dmg,375,-5.87720983e-11,82.0,25.75
2021-10-08 14:46:28,dmg,375,1.64243466e-10,85.75,25.5
2021-10-08 14:47:18,dmg,375,2.38590842e-10,84.0,25.25
2021-10-08 14:48:08,dmg,375,2.75764522e-10,82.75,25.75
2021-10-08 14:48:58,dmg,375,8.99226388e-11,82.25,25.5
2021-10-08 14:49:48,dmg,375,-2.44613968e-10,80.75,25.5
2021-10-08 14:50:38,dmg,375,2.75764522e-10,80.25,25.5
2021-10-08 14:51:28,dmg,375,2.38590842e-10,83.25,25.5
2021-10-08 14:52:18,dmg,375,-9.59192448e-11,85.75,25.5
2021-10-08 14:53:08,dmg,375,2.38590842e-10,84.0,25.75
2021-10-08 14:53:58,dmg,375,-9.59192448e-11,83.0,25.75
2021-10-08 14:54:48,dmg,375,-1.7026662e-10,81.75,25.5
2021-10-08 14:55:38,dmg,375,-1.7026662e-10,80.75,26.0
2021-10-08 14:56:28,dmg,375,-1.33092926e-10,79.75,26.0
2021-10-08 14:57:18,dmg,375,1.64243466e-10,84.75,25.75
2021-10-08 14:58:08,dmg,375,-2.44613968e-10,85.25,25.5
2021-10-08 14:58:58,dmg,375,8.99226388e-11,83.75,25.75
2021-10-08 14:59:48,dmg,375,1.27069785e-10,82.5,25.75
2021-10-08 15:00:39,dmg,375,-1.33092926e-10,81.5,25.5
2021-10-08 15:01:29,dmg,375,1.64243466e-10,80.75,25.75
2021-10-08 15:02:19,dmg,375,-1.7026662e-10,81.25,25.75
2021-10-08 15:03:09,dmg,375,3.5008535e-10,86.25,25.75
2021-10-08 15:03:59,dmg,375,1.27069785e-10,85.0,26.0
2021-10-08 15:04:49,dmg,375,3.8725903e-10,83.25,26.0
