Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-08-20 12:07:22,TP01569816,375,2.0598625e-09,23.0,30.0
2021-08-20 12:08:01,TP01569816,375,4.40537442e-05,22.75,29.75
2021-08-20 12:08:40,TP01569816,375,4.38606585e-05,22.75,29.5
2021-08-20 12:09:25,TP01569816,375,4.3730688e-05,22.5,29.75
2021-08-20 12:10:10,TP01569816,375,4.38049574e-05,22.5,29.5
2021-08-20 12:10:55,TP01569816,375,4.39386386e-05,22.5,29.25
2021-08-20 12:11:40,TP01569816,375,4.39423457e-05,22.25,29.25
2021-08-20 12:12:25,TP01569816,375,4.38606585e-05,22.5,29.0
2021-08-20 12:13:10,TP01569816,375,4.38903626e-05,22.5,29.0
2021-08-20 12:13:55,TP01569816,375,4.3849519e-05,22.25,29.25
2021-08-20 12:14:40,TP01569816,375,4.38903626e-05,22.5,29.0
2021-08-20 12:15:25,TP01569816,375,4.36972696e-05,22.5,29.0
2021-08-20 12:16:10,TP01569816,375,4.3778964e-05,22.5,29.0
2021-08-20 12:16:55,TP01569816,375,4.37455419e-05,22.5,29.25
2021-08-20 12:17:40,TP01569816,375,4.3823522e-05,22.5,29.0
2021-08-20 12:18:25,TP01569816,375,4.37715389e-05,22.5,29.0
2021-08-20 12:19:10,TP01569816,375,4.394606e-05,22.5,29.0
2021-08-20 12:19:56,TP01569816,375,4.39126416e-05,22.5,29.25
2021-08-20 12:20:41,TP01569816,375,4.38569405e-05,22.25,29.5
2021-08-20 12:21:26,TP01569816,375,4.39869036e-05,22.5,30.5
2021-08-20 12:22:11,TP01569816,375,4.37863855e-05,22.5,30.25
2021-08-20 12:22:56,TP01569816,375,4.37863855e-05,22.5,29.75
2021-08-20 12:23:41,TP01569816,375,4.39980467e-05,22.25,30.0
2021-08-20 12:24:26,TP01569816,375,4.3823522e-05,22.5,29.75
2021-08-20 12:25:11,TP01569816,375,4.38309471e-05,22.5,29.75
2021-08-20 12:25:56,TP01569816,375,4.3894077e-05,22.5,29.5
2021-08-20 12:26:41,TP01569816,375,4.3674987e-05,22.5,29.75
2021-08-20 12:27:26,TP01569816,375,4.39089272e-05,22.5,29.75
2021-08-20 12:28:11,TP01569816,375,4.39980467e-05,22.25,30.0
2021-08-20 12:28:56,TP01569816,375,4.38643656e-05,22.25,30.0
2021-08-20 12:29:41,TP01569816,375,4.3845801e-05,22.25,30.25
2021-08-20 12:30:26,TP01569816,375,4.39163559e-05,22.25,30.5
2021-08-20 12:31:11,TP01569816,375,4.39683427e-05,22.25,30.25
2021-08-20 12:31:56,TP01569816,375,4.37975286e-05,22.25,30.0
2021-08-20 12:32:41,TP01569816,375,4.3845801e-05,22.25,29.75
2021-08-20 12:33:26,TP01569816,375,4.37715389e-05,22.5,30.0
2021-08-20 12:34:11,TP01569816,375,4.37344024e-05,22.25,30.25
2021-08-20 12:34:56,TP01569816,375,4.38755051e-05,22.25,30.0
2021-08-20 12:35:41,TP01569816,375,4.38829375e-05,22.5,30.0
2021-08-20 12:36:26,TP01569816,375,4.37938179e-05,22.5,29.75
2021-08-20 12:37:11,TP01569816,375,4.36972696e-05,22.5,29.75
2021-08-20 12:37:56,TP01569816,375,4.3652708e-05,22.0,29.75
2021-08-20 12:38:41,TP01569816,375,4.37715389e-05,22.5,30.25
2021-08-20 12:39:26,TP01569816,375,4.38272364e-05,22.25,30.0
2021-08-20 12:40:11,TP01569816,375,4.37826784e-05,22.5,30.0
2021-08-20 12:40:56,TP01569816,375,4.35450238e-05,22.25,29.5
2021-08-20 12:41:42,TP01569816,375,4.38123825e-05,22.5,29.75
