Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-08-23 12:36:47,TP01569816,375,4.31328481e-05,22.75,30.0
2021-08-23 12:36:52,TP01569816,375,4.32516717e-05,22.75,30.0
2021-08-23 12:36:57,TP01569816,375,4.31811241e-05,22.75,30.0
2021-08-23 12:37:03,TP01569816,375,4.32108282e-05,22.75,30.0
2021-08-23 12:37:08,TP01569816,375,4.31179942e-05,22.75,30.0
2021-08-23 12:37:13,TP01569816,375,4.31811241e-05,22.75,30.0
2021-08-23 12:37:18,TP01569816,375,4.33073728e-05,22.75,30.0
2021-08-23 12:37:23,TP01569816,375,4.32182533e-05,22.75,30.0
2021-08-23 12:37:29,TP01569816,375,4.32591041e-05,22.75,30.0
2021-08-23 12:37:35,TP01569816,375,4.32182533e-05,22.75,30.0
2021-08-23 12:37:42,TP01569816,375,4.31514127e-05,22.75,30.0
2021-08-23 12:37:49,TP01569816,375,4.30957116e-05,22.75,30.0
2021-08-23 12:37:56,TP01569816,375,4.3032589e-05,22.5,30.0
2021-08-23 12:38:03,TP01569816,375,4.30474465e-05,22.75,29.75
2021-08-23 12:38:10,TP01569816,375,4.31291337e-05,22.75,30.0
2021-08-23 12:38:17,TP01569816,375,4.30065957e-05,22.75,29.75
2021-08-23 12:38:24,TP01569816,375,4.30474465e-05,22.75,29.75
2021-08-23 12:38:31,TP01569816,375,4.3058586e-05,22.75,29.75
2021-08-23 12:38:38,TP01569816,375,4.30400141e-05,22.75,29.75
2021-08-23 12:38:45,TP01569816,375,4.30214495e-05,22.75,30.0
2021-08-23 12:38:52,TP01569816,375,4.31217086e-05,22.75,30.0
2021-08-23 12:38:59,TP01569816,375,4.32628112e-05,22.75,30.0
2021-08-23 12:39:06,TP01569816,375,4.31811241e-05,22.75,29.75
2021-08-23 12:39:13,TP01569816,375,4.32702436e-05,22.75,29.75
2021-08-23 12:39:20,TP01569816,375,4.3125423e-05,22.75,30.0
2021-08-23 12:39:27,TP01569816,375,4.3125423e-05,22.75,30.0
2021-08-23 12:39:35,TP01569816,375,4.29954525e-05,22.75,30.0
2021-08-23 12:39:42,TP01569816,375,4.32145425e-05,22.75,30.0
2021-08-23 12:39:49,TP01569816,375,4.31365625e-05,22.75,30.0
2021-08-23 12:39:56,TP01569816,375,4.31885492e-05,22.75,30.0
2021-08-23 12:40:03,TP01569816,375,4.31439876e-05,22.75,30.0
2021-08-23 12:40:10,TP01569816,375,4.31662666e-05,22.75,30.25
2021-08-23 12:40:17,TP01569816,375,4.32628112e-05,22.75,30.25
2021-08-23 12:40:24,TP01569816,375,4.30957116e-05,22.75,30.25
2021-08-23 12:40:31,TP01569816,375,4.32516717e-05,22.75,30.5
2021-08-23 12:40:38,TP01569816,375,4.3080865e-05,22.75,30.5
2021-08-23 12:40:45,TP01569816,375,4.3032589e-05,22.75,30.5
2021-08-23 12:40:52,TP01569816,375,4.31105691e-05,22.75,30.25
2021-08-23 12:40:59,TP01569816,375,4.30994296e-05,22.5,30.25
2021-08-23 12:41:06,TP01569816,375,4.33556452e-05,22.75,30.25
2021-08-23 12:41:13,TP01569816,375,4.30734326e-05,22.75,30.5
2021-08-23 12:41:20,TP01569816,375,4.31068547e-05,22.75,30.25
2021-08-23 12:41:27,TP01569816,375,4.30622931e-05,22.75,30.5
2021-08-23 12:41:34,TP01569816,375,4.32628112e-05,22.75,30.5
2021-08-23 12:41:41,TP01569816,375,4.301031e-05,22.75,30.5
2021-08-23 12:41:48,TP01569816,375,4.30622931e-05,22.75,30.5
2021-08-23 12:41:55,TP01569816,375,4.30474465e-05,22.75,30.5
2021-08-23 12:42:02,TP01569816,375,4.31402732e-05,22.75,30.5
2021-08-23 12:42:09,TP01569816,375,4.30474465e-05,22.75,30.5
2021-08-23 12:42:16,TP01569816,375,4.32479646e-05,22.75,30.5
2021-08-23 12:42:23,TP01569816,375,4.31848312e-05,22.75,30.5
2021-08-23 12:42:30,TP01569816,375,4.31142835e-05,22.75,30.5
2021-08-23 12:42:37,TP01569816,375,4.32293928e-05,22.75,30.5
2021-08-23 12:42:44,TP01569816,375,4.3125423e-05,22.5,30.25
2021-08-23 12:42:51,TP01569816,375,4.30697255e-05,22.75,30.25
2021-08-23 12:42:58,TP01569816,375,4.30920045e-05,22.5,30.25
2021-08-23 12:43:05,TP01569816,375,4.30957116e-05,22.75,30.25
2021-08-23 12:43:12,TP01569816,375,4.30994296e-05,22.5,30.5
2021-08-23 12:43:19,TP01569816,375,4.31179942e-05,22.75,30.25
2021-08-23 12:43:26,TP01569816,375,4.31365625e-05,22.75,30.25
2021-08-23 12:43:33,TP01569816,375,4.30845721e-05,22.5,30.25
2021-08-23 12:43:40,TP01569816,375,4.31885492e-05,22.75,30.25
2021-08-23 12:43:47,TP01569816,375,4.3203403e-05,22.75,30.25
2021-08-23 12:43:54,TP01569816,375,4.30920045e-05,22.75,30.25
2021-08-23 12:44:01,TP01569816,375,4.30511536e-05,22.25,30.0
2021-08-23 12:44:08,TP01569816,375,4.31439876e-05,22.5,30.25
2021-08-23 12:44:15,TP01569816,375,4.3032589e-05,22.5,30.25
2021-08-23 12:44:22,TP01569816,375,4.29917454e-05,22.5,30.25
2021-08-23 12:44:29,TP01569816,375,4.30474465e-05,22.5,30.25
2021-08-23 12:44:36,TP01569816,375,4.31402732e-05,22.5,30.25
2021-08-23 12:44:43,TP01569816,375,4.301031e-05,22.5,30.25
2021-08-23 12:44:50,TP01569816,375,4.30660075e-05,22.5,30.0
2021-08-23 12:44:57,TP01569816,375,4.30400141e-05,22.5,30.0
2021-08-23 12:45:04,TP01569816,375,4.3054868e-05,22.75,30.0
2021-08-23 12:45:11,TP01569816,375,4.29991705e-05,22.5,30.0
2021-08-23 12:45:18,TP01569816,375,4.30697255e-05,22.75,30.0
2021-08-23 12:45:25,TP01569816,375,4.29546089e-05,22.75,30.25
2021-08-23 12:45:32,TP01569816,375,4.30363034e-05,22.75,30.25
2021-08-23 12:45:39,TP01569816,375,4.3103144e-05,22.75,30.0
2021-08-23 12:45:46,TP01569816,375,4.301031e-05,22.75,30.0
2021-08-23 12:45:53,TP01569816,375,4.30400141e-05,22.75,30.0
2021-08-23 12:46:00,TP01569816,375,4.3054868e-05,22.75,30.25
2021-08-23 12:46:07,TP01569816,375,4.32071138e-05,22.75,30.25
2021-08-23 12:46:14,TP01569816,375,4.30957116e-05,22.75,30.25
2021-08-23 12:46:21,TP01569816,375,4.31996887e-05,22.75,30.25
2021-08-23 12:46:28,TP01569816,375,4.3103144e-05,22.75,30.25
2021-08-23 12:46:35,TP01569816,375,4.31365625e-05,22.75,30.25
2021-08-23 12:46:42,TP01569816,375,4.3054868e-05,22.75,30.25
2021-08-23 12:46:49,TP01569816,375,4.32219676e-05,22.75,30.25
2021-08-23 12:46:56,TP01569816,375,4.31365625e-05,22.75,30.5
2021-08-23 12:47:03,TP01569816,375,4.3203403e-05,22.75,30.75
2021-08-23 12:47:10,TP01569816,375,4.32850902e-05,22.75,30.5
2021-08-23 12:47:18,TP01569816,375,4.30660075e-05,22.75,30.5
2021-08-23 12:47:25,TP01569816,375,4.30882901e-05,22.75,30.5
2021-08-23 12:47:32,TP01569816,375,4.30363034e-05,22.75,30.5
2021-08-23 12:47:39,TP01569816,375,4.31365625e-05,22.75,30.5
2021-08-23 12:47:46,TP01569816,375,4.31551271e-05,22.75,30.75
2021-08-23 12:47:53,TP01569816,375,4.30660075e-05,22.75,30.5
2021-08-23 12:48:00,TP01569816,375,4.32182533e-05,22.75,30.5
2021-08-23 12:48:07,TP01569816,375,4.31848312e-05,22.75,30.75
2021-08-23 12:48:14,TP01569816,375,4.3103144e-05,22.75,30.75
2021-08-23 12:48:21,TP01569816,375,4.31625522e-05,22.75,30.75
