Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-09-15 13:49:14,TP01569816,375,2.52273312e-05,81.25,25.75
2021-09-15 13:50:14,TP01569816,375,2.50825124e-05,80.25,26.5
2021-09-15 13:51:14,TP01569816,375,2.54761217e-05,79.25,26.5
2021-09-15 13:52:14,TP01569816,375,2.54909774e-05,81.5,26.0
2021-09-15 13:53:14,TP01569816,375,2.56692147e-05,84.0,26.25
2021-09-15 13:54:14,TP01569816,375,2.54389888e-05,82.5,26.25
2021-09-15 13:55:14,TP01569816,375,2.54909774e-05,81.25,26.0
2021-09-15 13:56:14,TP01569816,375,2.54835486e-05,80.0,26.0
2021-09-15 13:57:14,TP01569816,375,2.55912364e-05,79.25,26.5
2021-09-15 13:58:14,TP01569816,375,2.55540999e-05,84.0,26.0
2021-09-15 13:59:14,TP01569816,375,2.54724091e-05,83.75,26.0
2021-09-15 14:00:14,TP01569816,375,2.54129973e-05,82.25,26.5
2021-09-15 14:01:14,TP01569816,375,2.53461585e-05,81.25,26.75
2021-09-15 14:02:14,TP01569816,375,2.53981416e-05,80.25,26.25
2021-09-15 14:03:14,TP01569816,375,2.53275903e-05,80.25,26.25
2021-09-15 14:04:14,TP01569816,375,2.51753481e-05,85.0,26.5
2021-09-15 14:05:14,TP01569816,375,2.53164508e-05,83.25,26.25
2021-09-15 14:06:14,TP01569816,375,2.52570389e-05,82.25,26.75
2021-09-15 14:07:14,TP01569816,375,2.50082485e-05,81.0,26.75
2021-09-15 14:08:14,TP01569816,375,2.51382116e-05,80.0,27.0
2021-09-15 14:09:14,TP01569816,375,2.50268131e-05,81.25,26.75
2021-09-15 14:10:14,TP01569816,375,2.49339828e-05,84.5,27.0
2021-09-15 14:11:14,TP01569816,375,2.50750891e-05,83.0,26.75
2021-09-15 14:12:14,TP01569816,375,2.48819942e-05,81.5,26.75
2021-09-15 14:13:15,TP01569816,375,2.49822533e-05,80.75,26.5
2021-09-15 14:14:15,TP01569816,375,2.4889423e-05,79.75,27.0
2021-09-15 14:15:15,TP01569816,375,2.48374345e-05,84.5,27.0
2021-09-15 14:16:15,TP01569816,375,2.48151555e-05,84.0,27.0
2021-09-15 14:17:15,TP01569816,375,2.48151555e-05,82.5,27.0
2021-09-15 14:18:15,TP01569816,375,2.50528083e-05,81.25,27.5
