Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2022-03-02 12:14:50,dmg,375,3.30178264e-05,81.5,25.5
2022-03-02 12:15:51,dmg,375,3.30661023e-05,81.5,25.5
2022-03-02 12:16:30,dmg,375,3.31366573e-05,81.25,25.5
2022-03-02 12:17:20,dmg,375,3.31403644e-05,80.75,25.5
2022-03-02 12:18:10,dmg,375,3.30735274e-05,80.25,25.5
2022-03-02 12:19:00,dmg,375,3.31143783e-05,79.75,25.5
2022-03-02 12:19:50,dmg,375,3.30289658e-05,79.25,25.5
2022-03-02 12:20:40,dmg,375,3.30141193e-05,78.75,25.5
2022-03-02 12:21:30,dmg,375,3.30141193e-05,80.5,25.5
2022-03-02 12:22:20,dmg,375,3.31143783e-05,81.5,25.5
2022-03-02 12:23:10,dmg,375,3.30586772e-05,81.5,25.75
2022-03-02 12:24:00,dmg,375,3.30215407e-05,81.0,25.75
2022-03-02 12:24:51,dmg,375,3.29398463e-05,80.75,25.75
2022-03-02 12:25:41,dmg,375,3.30326839e-05,80.25,25.75
2022-03-02 12:26:31,dmg,375,3.30066869e-05,79.5,25.75
2022-03-02 12:27:21,dmg,375,3.30066869e-05,79.0,25.75
2022-03-02 12:28:11,dmg,375,3.29324248e-05,79.25,25.75
2022-03-02 12:29:01,dmg,375,3.30066869e-05,81.25,25.75
2022-03-02 12:29:51,dmg,375,3.29584182e-05,81.75,25.75
2022-03-02 12:30:41,dmg,375,3.29769828e-05,81.5,25.75
2022-03-02 12:31:31,dmg,375,3.29435643e-05,81.0,25.75
2022-03-02 12:32:21,dmg,375,3.30363982e-05,80.75,25.75
2022-03-02 12:33:11,dmg,375,3.30104012e-05,80.0,25.75
2022-03-02 12:34:01,dmg,375,3.3062388e-05,79.5,25.75
2022-03-02 12:34:51,dmg,375,3.31589363e-05,78.75,25.75
2022-03-02 12:35:41,dmg,375,3.31812153e-05,79.25,25.75
2022-03-02 12:36:31,dmg,375,3.30252587e-05,81.25,25.75
2022-03-02 12:37:21,dmg,375,3.31366573e-05,81.5,25.75
2022-03-02 12:38:11,dmg,375,3.3207205e-05,81.5,25.75
2022-03-02 12:39:01,dmg,375,3.31886404e-05,80.75,25.75
2022-03-02 12:39:51,dmg,375,3.30512448e-05,80.5,25.75
2022-03-02 12:40:41,dmg,375,3.31032388e-05,80.0,26.0
2022-03-02 12:41:31,dmg,375,3.29844079e-05,79.25,25.75
2022-03-02 12:42:21,dmg,375,3.31217998e-05,78.5,25.75
2022-03-02 12:43:11,dmg,375,3.30958064e-05,80.0,25.75
2022-03-02 12:44:01,dmg,375,3.30363982e-05,81.5,25.75
2022-03-02 12:44:51,dmg,375,3.32183445e-05,81.75,25.75
2022-03-02 12:45:41,dmg,375,3.31515039e-05,81.25,25.75
2022-03-02 12:46:32,dmg,375,3.31292249e-05,80.75,25.75
2022-03-02 12:47:22,dmg,375,3.31180854e-05,80.25,25.75
2022-03-02 12:48:12,dmg,375,3.30958064e-05,79.75,25.75
2022-03-02 12:49:02,dmg,375,3.31106603e-05,79.25,25.75
2022-03-02 12:49:52,dmg,375,3.31403644e-05,78.75,25.75
2022-03-02 12:50:42,dmg,375,3.30029798e-05,80.5,25.75
2022-03-02 12:51:32,dmg,375,3.31589363e-05,81.75,25.75
2022-03-02 12:52:22,dmg,375,3.3184926e-05,81.5,25.75
2022-03-02 12:53:12,dmg,375,3.31663614e-05,81.25,25.75
2022-03-02 12:54:02,dmg,375,3.30512448e-05,80.5,25.75
2022-03-02 12:54:52,dmg,375,3.32443415e-05,80.0,25.75
2022-03-02 12:55:42,dmg,375,3.31700758e-05,79.5,25.75
2022-03-02 12:56:32,dmg,375,3.31552219e-05,79.0,25.75
2022-03-02 12:57:22,dmg,375,3.31217998e-05,79.0,25.75
2022-03-02 12:58:12,dmg,375,3.31960655e-05,81.0,25.75
2022-03-02 12:59:02,dmg,375,3.30363982e-05,81.75,25.5
2022-03-02 12:59:52,dmg,375,3.31812153e-05,81.25,25.5
2022-03-02 13:00:42,dmg,375,3.31477968e-05,81.0,25.5
2022-03-02 13:01:32,dmg,375,3.32443415e-05,80.5,25.75
2022-03-02 13:02:22,dmg,375,3.31106603e-05,80.0,25.5
2022-03-02 13:03:12,dmg,375,3.30883813e-05,79.25,25.5
2022-03-02 13:04:02,dmg,375,3.30066869e-05,78.75,25.5
2022-03-02 13:04:53,dmg,375,3.31032388e-05,79.75,25.5
2022-03-02 13:05:43,dmg,375,3.30995208e-05,81.5,25.5
