Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2022-03-04 16:41:24,dmg,1,1.64243466e-10,81.25,25.5
2022-03-04 16:42:27,dmg,1,1.64243466e-10,81.5,25.5
2022-03-04 16:42:59,dmg,1,2.75764522e-10,81.25,25.75
2022-03-04 16:43:49,dmg,1,2.01417147e-10,80.75,25.5
2022-03-04 16:44:39,dmg,1,1.27069785e-10,80.0,25.5
2022-03-04 16:45:29,dmg,1,8.99226388e-11,79.5,25.75
2022-03-04 16:46:19,dmg,1,1.55752685e-11,79.0,25.5
2022-03-04 16:47:09,dmg,1,1.64243466e-10,78.5,25.75
2022-03-04 16:47:59,dmg,1,2.75764522e-10,80.25,25.75
2022-03-04 16:48:49,dmg,1,1.27069785e-10,81.5,25.75
2022-03-04 16:49:39,dmg,1,2.38590842e-10,81.25,26.0
2022-03-04 16:50:29,dmg,1,2.75764522e-10,81.0,25.75
2022-03-04 16:51:19,dmg,1,1.64243466e-10,80.5,26.0
2022-03-04 16:52:09,dmg,1,2.01417147e-10,80.0,26.0
2022-03-04 16:52:59,dmg,1,8.99226388e-11,79.5,26.0
2022-03-04 16:53:49,dmg,1,1.64243466e-10,79.0,26.0
2022-03-04 16:54:39,dmg,1,3.12911669e-10,78.75,26.0
2022-03-04 16:55:29,dmg,1,2.01417147e-10,80.75,26.25
2022-03-04 16:56:20,dmg,1,2.75764522e-10,81.5,26.25
2022-03-04 16:57:10,dmg,1,5.2748951e-11,81.25,26.25
2022-03-04 16:58:00,dmg,1,5.2748951e-11,81.0,26.25
2022-03-04 16:58:50,dmg,1,8.99226388e-11,80.5,26.0
2022-03-04 16:59:40,dmg,1,-1.33092926e-10,79.75,26.0
2022-03-04 17:00:30,dmg,1,5.2748951e-11,79.0,26.25
2022-03-04 17:01:20,dmg,1,8.99226388e-11,78.75,26.25
2022-03-04 17:02:10,dmg,1,5.2748951e-11,79.5,26.25
2022-03-04 17:03:00,dmg,1,1.64243466e-10,81.25,26.0
2022-03-04 17:03:50,dmg,1,2.01417147e-10,81.5,26.0
2022-03-04 17:04:40,dmg,1,2.75764522e-10,81.25,26.0
2022-03-04 17:05:30,dmg,1,1.64243466e-10,80.5,26.0
2022-03-04 17:06:20,dmg,1,2.01417147e-10,80.0,26.0
2022-03-04 17:07:10,dmg,1,1.64243466e-10,79.5,26.0
2022-03-04 17:08:00,dmg,1,8.99226388e-11,78.75,26.0
2022-03-04 17:08:50,dmg,1,1.64243466e-10,78.75,26.0
2022-03-04 17:09:40,dmg,1,2.38590842e-10,80.75,26.0
2022-03-04 17:10:30,dmg,1,1.27069785e-10,81.5,26.0
2022-03-04 17:11:20,dmg,1,8.99226388e-11,81.25,26.0
2022-03-04 17:12:10,dmg,1,2.01417147e-10,81.0,26.0
2022-03-04 17:13:00,dmg,1,2.38590842e-10,80.25,25.75
2022-03-04 17:13:50,dmg,1,2.01417147e-10,79.75,25.75
2022-03-04 17:14:40,dmg,1,3.12911669e-10,79.5,25.75
2022-03-04 17:15:30,dmg,1,1.64243466e-10,78.75,25.75
2022-03-04 17:16:21,dmg,1,2.01417147e-10,79.25,25.75
2022-03-04 17:17:11,dmg,1,1.64243466e-10,81.0,25.75
2022-03-04 17:18:01,dmg,1,1.55752685e-11,81.25,25.75
2022-03-04 17:18:51,dmg,1,2.01417147e-10,81.0,25.75
2022-03-04 17:19:41,dmg,1,8.99226388e-11,80.75,25.75
2022-03-04 17:20:31,dmg,1,5.2748951e-11,80.0,25.75
2022-03-04 17:21:21,dmg,1,3.12911669e-10,79.5,25.75
2022-03-04 17:22:11,dmg,1,1.64243466e-10,79.0,25.75
2022-03-04 17:23:01,dmg,1,-2.1598414e-11,78.5,26.0
2022-03-04 17:23:51,dmg,1,2.75764522e-10,80.25,26.0
2022-03-04 17:24:41,dmg,1,1.64243466e-10,81.5,26.0
2022-03-04 17:25:31,dmg,1,1.27069785e-10,81.5,26.0
2022-03-04 17:26:21,dmg,1,5.2748951e-11,81.25,26.0
2022-03-04 17:27:11,dmg,1,2.01417147e-10,80.5,26.0
2022-03-04 17:28:01,dmg,1,1.64243466e-10,80.0,25.75
2022-03-04 17:28:51,dmg,1,8.99226388e-11,79.5,25.75
2022-03-04 17:29:41,dmg,1,8.99226388e-11,79.0,25.75
2022-03-04 17:30:31,dmg,1,5.2748951e-11,78.75,25.75
2022-03-04 17:31:21,dmg,1,2.38590842e-10,80.5,25.75
2022-03-04 17:32:11,dmg,1,5.2748951e-11,81.5,25.75
2022-03-04 17:33:01,dmg,1,2.01417147e-10,81.25,25.75
2022-03-04 17:33:51,dmg,1,2.75764522e-10,80.75,25.75
2022-03-04 17:34:41,dmg,1,2.38590842e-10,80.25,25.5
2022-03-04 17:35:32,dmg,1,2.01417147e-10,79.75,25.5
2022-03-04 17:36:22,dmg,1,5.2748951e-11,79.25,25.5
2022-03-04 17:37:12,dmg,1,1.27069785e-10,78.75,25.5
2022-03-04 17:38:02,dmg,1,2.38590842e-10,79.25,25.5
2022-03-04 17:38:52,dmg,1,1.27069785e-10,81.25,25.75
2022-03-04 17:39:42,dmg,1,1.64243466e-10,81.5,25.5
2022-03-04 17:40:32,dmg,1,1.64243466e-10,81.25,25.5
2022-03-04 17:41:22,dmg,1,1.64243466e-10,80.75,25.5
2022-03-04 17:42:12,dmg,1,1.64243466e-10,80.25,25.5
2022-03-04 17:43:02,dmg,1,1.64243466e-10,79.5,25.5
2022-03-04 17:43:52,dmg,1,2.01417147e-10,79.0,25.25
2022-03-04 17:44:42,dmg,1,1.27069785e-10,78.5,25.5
2022-03-04 17:45:32,dmg,1,1.64243466e-10,80.0,25.25
2022-03-04 17:46:22,dmg,1,5.2748951e-11,81.25,25.5
2022-03-04 17:47:12,dmg,1,1.27069785e-10,81.5,25.5
2022-03-04 17:48:02,dmg,1,1.27069785e-10,81.0,25.5
2022-03-04 17:48:52,dmg,1,3.5008535e-10,80.5,25.5
2022-03-04 17:49:42,dmg,1,1.27069785e-10,80.0,25.5
2022-03-04 17:50:32,dmg,1,8.99226388e-11,79.25,25.5
2022-03-04 17:51:22,dmg,1,1.55752685e-11,78.75,25.5
2022-03-04 17:52:12,dmg,1,1.27069785e-10,79.25,25.5
2022-03-04 17:53:02,dmg,1,2.01417147e-10,80.75,25.5
2022-03-04 17:53:52,dmg,1,8.99226388e-11,81.5,25.5
2022-03-04 17:54:43,dmg,1,1.27069785e-10,81.25,25.5
2022-03-04 17:55:33,dmg,1,8.99226388e-11,80.5,25.5
2022-03-04 17:56:23,dmg,1,2.01417147e-10,80.25,25.5
2022-03-04 17:57:13,dmg,1,1.27069785e-10,79.5,25.5
2022-03-04 17:58:03,dmg,1,1.27069785e-10,79.0,25.5
