Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2022-04-20 12:11:08,dmg,375,2.89703348e-05,20.75,22.25
2022-04-20 12:12:00,dmg,375,2.89554791e-05,20.75,22.25
2022-04-20 12:12:48,dmg,375,2.89517702e-05,20.75,22.25
2022-04-20 12:13:38,dmg,375,2.88997799e-05,20.75,22.25
2022-04-20 12:14:28,dmg,375,2.90037533e-05,20.75,22.25
2022-04-20 12:15:19,dmg,375,2.88106603e-05,20.75,22.25
2022-04-20 12:16:09,dmg,375,2.89814743e-05,20.75,22.25
2022-04-20 12:16:59,dmg,375,2.8825516e-05,20.75,22.25
2022-04-20 12:17:49,dmg,375,2.88626507e-05,20.75,22.25
2022-04-20 12:18:39,dmg,375,2.88440806e-05,20.75,22.25
2022-04-20 12:19:29,dmg,375,2.89034942e-05,20.75,22.25
2022-04-20 12:20:19,dmg,375,2.88143765e-05,20.75,22.25
2022-04-20 12:21:09,dmg,375,2.88589363e-05,20.75,22.25
2022-04-20 12:21:59,dmg,375,2.8825516e-05,20.75,22.25
2022-04-20 12:22:49,dmg,375,2.89294912e-05,20.75,22.5
2022-04-20 12:23:39,dmg,375,2.88366555e-05,20.75,22.5
2022-04-20 12:24:29,dmg,375,2.90445987e-05,20.75,22.5
2022-04-20 12:25:19,dmg,375,2.89443396e-05,20.75,22.75
2022-04-20 12:26:09,dmg,375,2.89183499e-05,20.75,22.75
2022-04-20 12:26:59,dmg,375,2.89591953e-05,20.75,23.0
2022-04-20 12:27:49,dmg,375,2.88180909e-05,20.75,23.0
2022-04-20 12:28:39,dmg,375,2.88886404e-05,20.75,23.0
2022-04-20 12:29:29,dmg,375,2.88663596e-05,21.0,23.0
2022-04-20 12:30:19,dmg,375,2.87995208e-05,20.75,23.0
2022-04-20 12:31:09,dmg,375,2.88960709e-05,20.75,23.0
2022-04-20 12:31:59,dmg,375,2.88292304e-05,20.75,23.25
2022-04-20 12:32:50,dmg,375,2.88997799e-05,20.75,23.25
2022-04-20 12:33:40,dmg,375,2.88589363e-05,20.75,23.25
2022-04-20 12:34:30,dmg,375,2.88737901e-05,20.75,23.25
2022-04-20 12:35:20,dmg,375,2.88700758e-05,21.0,23.25
2022-04-20 12:36:10,dmg,375,2.89109194e-05,20.75,23.5
2022-04-20 12:37:00,dmg,375,2.87846724e-05,21.0,23.5
2022-04-20 12:37:50,dmg,375,2.88069514e-05,21.0,23.25
2022-04-20 12:38:40,dmg,375,2.88626507e-05,20.75,23.5
2022-04-20 12:39:30,dmg,375,2.88700758e-05,21.0,23.5
2022-04-20 12:40:20,dmg,375,2.8847795e-05,21.0,23.5
2022-04-20 12:41:10,dmg,375,2.88440806e-05,21.0,23.5
2022-04-20 12:42:00,dmg,375,2.88626507e-05,21.0,23.5
2022-04-20 12:42:50,dmg,375,2.8825516e-05,21.0,23.5
2022-04-20 12:43:40,dmg,375,2.87252569e-05,21.0,23.5
2022-04-20 12:44:30,dmg,375,2.87512521e-05,21.0,23.75
2022-04-20 12:45:20,dmg,375,2.88292304e-05,21.0,23.75
2022-04-20 12:46:10,dmg,375,2.89517702e-05,21.0,23.5
2022-04-20 12:47:00,dmg,375,2.88812153e-05,21.0,23.75
2022-04-20 12:47:50,dmg,375,2.87661042e-05,21.0,23.75
2022-04-20 12:48:40,dmg,375,2.87698167e-05,21.0,23.75
2022-04-20 12:49:30,dmg,375,2.87698167e-05,21.0,23.75
2022-04-20 12:50:20,dmg,375,2.87883813e-05,21.0,23.75
2022-04-20 12:51:10,dmg,375,2.88700758e-05,21.0,23.75
2022-04-20 12:52:01,dmg,375,2.87958119e-05,21.0,23.75
2022-04-20 12:52:51,dmg,375,2.88552201e-05,21.0,23.75
2022-04-20 12:53:41,dmg,375,2.88180909e-05,21.0,24.0
2022-04-20 12:54:31,dmg,375,2.89183499e-05,21.0,23.75
2022-04-20 12:55:21,dmg,375,2.87958119e-05,21.0,23.75
2022-04-20 12:56:11,dmg,375,2.88589363e-05,21.0,24.0
2022-04-20 12:57:01,dmg,375,2.87289713e-05,21.0,24.0
2022-04-20 12:57:51,dmg,375,2.87475359e-05,21.0,24.0
2022-04-20 12:58:41,dmg,375,2.88515112e-05,21.0,24.0
2022-04-20 12:59:31,dmg,375,2.88180909e-05,21.0,24.0
2022-04-20 13:00:21,dmg,375,2.89183499e-05,21.0,24.0
2022-04-20 13:01:11,dmg,375,2.89072104e-05,21.0,24.25
2022-04-20 13:02:01,dmg,375,2.89072104e-05,21.0,24.25
2022-04-20 13:02:51,dmg,375,2.88440806e-05,21.0,24.25
2022-04-20 13:03:41,dmg,375,2.88106603e-05,21.0,24.25
2022-04-20 13:04:31,dmg,375,2.88626507e-05,21.0,24.5
2022-04-20 13:05:21,dmg,375,2.88143765e-05,20.5,24.25
2022-04-20 13:06:11,dmg,375,2.87958119e-05,21.0,24.5
2022-04-20 13:07:01,dmg,375,2.88886404e-05,21.0,24.5
2022-04-20 13:07:51,dmg,375,2.88366555e-05,20.75,24.5
2022-04-20 13:08:41,dmg,375,2.87586754e-05,21.0,24.5
2022-04-20 13:09:31,dmg,375,2.88515112e-05,21.0,24.5
2022-04-20 13:10:21,dmg,375,2.88217998e-05,21.0,24.5
2022-04-20 13:11:11,dmg,375,2.88552201e-05,20.25,24.5
2022-04-20 13:12:02,dmg,375,2.87586754e-05,21.0,24.5
2022-04-20 13:12:52,dmg,375,2.89294912e-05,21.0,24.5
2022-04-20 13:13:42,dmg,375,2.88589363e-05,21.0,24.5
2022-04-20 13:14:32,dmg,375,2.88292304e-05,21.0,24.5
2022-04-20 13:15:22,dmg,375,2.87809562e-05,21.0,24.5
2022-04-20 13:16:12,dmg,375,2.87735311e-05,21.0,24.5
2022-04-20 13:17:02,dmg,375,2.8825516e-05,21.0,24.5
2022-04-20 13:17:52,dmg,375,2.88849315e-05,21.0,24.25
2022-04-20 13:18:42,dmg,375,2.8825516e-05,21.0,24.25
2022-04-20 13:19:32,dmg,375,2.88589363e-05,21.25,24.25
2022-04-20 13:20:22,dmg,375,2.877724e-05,21.0,24.25
2022-04-20 13:21:12,dmg,375,2.88180909e-05,21.25,24.5
2022-04-20 13:22:02,dmg,375,2.87920957e-05,21.0,24.25
2022-04-20 13:22:52,dmg,375,2.87995208e-05,20.75,24.5
2022-04-20 13:23:42,dmg,375,2.88589363e-05,21.25,24.5
2022-04-20 13:24:32,dmg,375,2.88515112e-05,21.0,24.5
2022-04-20 13:25:22,dmg,375,2.8825516e-05,21.0,24.25
2022-04-20 13:26:12,dmg,375,2.88069514e-05,21.0,24.25
2022-04-20 13:27:02,dmg,375,2.86398536e-05,21.0,24.25
2022-04-20 13:27:52,dmg,375,2.87363964e-05,21.0,24.5
2022-04-20 13:28:42,dmg,375,2.87029761e-05,21.25,24.5
2022-04-20 13:29:32,dmg,375,2.86361374e-05,21.25,24.5
2022-04-20 13:30:22,dmg,375,2.87326839e-05,20.75,24.25
2022-04-20 13:31:12,dmg,375,2.87252569e-05,21.0,24.5
2022-04-20 13:32:02,dmg,375,2.87623916e-05,21.0,24.5
2022-04-20 13:32:52,dmg,375,2.87512521e-05,21.0,24.5
2022-04-20 13:33:42,dmg,375,2.87178318e-05,21.0,24.5
2022-04-20 13:34:32,dmg,375,2.87326839e-05,21.25,24.5
2022-04-20 13:35:22,dmg,375,2.86844133e-05,21.0,24.5
2022-04-20 13:36:12,dmg,375,2.87066923e-05,21.0,24.5
2022-04-20 13:37:02,dmg,375,2.86695577e-05,21.25,24.5
2022-04-20 13:37:52,dmg,375,2.86584163e-05,21.25,24.5
2022-04-20 13:38:42,dmg,375,2.87066923e-05,21.0,24.5
2022-04-20 13:39:33,dmg,375,2.86584163e-05,21.0,24.5
2022-04-20 13:40:23,dmg,375,2.86806971e-05,21.25,24.5
2022-04-20 13:41:13,dmg,375,2.86175728e-05,21.25,24.75
2022-04-20 13:42:03,dmg,375,2.86175728e-05,21.0,24.75
2022-04-20 13:42:53,dmg,375,2.86175728e-05,21.25,24.75
2022-04-20 13:43:43,dmg,375,2.86992654e-05,21.25,24.75
2022-04-20 13:44:33,dmg,375,2.86101458e-05,21.0,24.75
2022-04-20 13:45:23,dmg,375,2.87178318e-05,21.0,24.75
2022-04-20 13:46:13,dmg,375,2.86547056e-05,21.0,24.75
2022-04-20 13:47:03,dmg,375,2.86027171e-05,21.25,24.75
2022-04-20 13:47:53,dmg,375,2.86658451e-05,21.0,24.5
2022-04-20 13:48:43,dmg,375,2.86398536e-05,21.0,24.75
2022-04-20 13:49:33,dmg,375,2.86992654e-05,21.0,24.75
2022-04-20 13:50:23,dmg,375,2.86844133e-05,21.0,24.75
2022-04-20 13:51:13,dmg,375,2.86175728e-05,21.0,24.75
2022-04-20 13:52:03,dmg,375,2.86769846e-05,21.25,24.5
2022-04-20 13:52:53,dmg,375,2.86138584e-05,21.0,24.5
2022-04-20 13:53:43,dmg,375,2.87401126e-05,21.25,24.5
2022-04-20 13:54:33,dmg,375,2.86249979e-05,21.0,24.5
2022-04-20 13:55:23,dmg,375,2.86769846e-05,21.25,24.25
2022-04-20 13:56:13,dmg,375,2.87549647e-05,21.0,24.25
2022-04-20 13:57:03,dmg,375,2.87029761e-05,21.25,24.25
2022-04-20 13:57:53,dmg,375,2.87735311e-05,21.25,24.25
2022-04-20 13:58:43,dmg,375,2.87104049e-05,21.25,24.25
2022-04-20 13:59:33,dmg,375,2.88032352e-05,21.25,24.25
2022-04-20 14:00:23,dmg,375,2.86621325e-05,21.25,24.25
2022-04-20 14:01:13,dmg,375,2.87178318e-05,21.0,24.25
2022-04-20 14:02:03,dmg,375,2.87809562e-05,21.25,24.25
2022-04-20 14:02:53,dmg,375,2.87995208e-05,21.25,24.25
2022-04-20 14:03:43,dmg,375,2.86435643e-05,21.0,24.25
2022-04-20 14:04:34,dmg,375,2.87104049e-05,21.25,24.25
