Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2022-05-04 12:12:33,dmg,375,3.00063457e-05,20.75,22.75
2022-05-04 12:13:35,dmg,375,2.99135099e-05,20.75,23.0
2022-05-04 12:13:49,dmg,375,2.99766416e-05,20.75,23.0
2022-05-04 12:14:39,dmg,375,2.99023704e-05,20.75,22.75
2022-05-04 12:15:29,dmg,375,2.99617859e-05,20.75,22.75
2022-05-04 12:16:19,dmg,375,2.99320818e-05,20.75,22.75
2022-05-04 12:17:09,dmg,375,3.00026295e-05,20.75,22.75
2022-05-04 12:17:59,dmg,375,2.99989206e-05,20.75,23.0
2022-05-04 12:18:49,dmg,375,2.99320818e-05,20.75,22.75
2022-05-04 12:19:39,dmg,375,3.00546199e-05,20.75,23.0
2022-05-04 12:20:29,dmg,375,2.99729254e-05,20.75,23.0
2022-05-04 12:21:19,dmg,375,3.00471893e-05,20.75,23.0
2022-05-04 12:22:09,dmg,375,2.99357907e-05,20.75,23.0
2022-05-04 12:22:59,dmg,375,3.00026295e-05,20.75,23.0
2022-05-04 12:23:49,dmg,375,2.99729254e-05,20.75,23.0
2022-05-04 12:24:39,dmg,375,3.00063457e-05,20.75,23.0
2022-05-04 12:25:29,dmg,375,3.00286247e-05,20.75,23.0
2022-05-04 12:26:19,dmg,375,2.99692092e-05,21.0,23.0
2022-05-04 12:27:09,dmg,375,2.99692092e-05,20.75,23.25
2022-05-04 12:27:59,dmg,375,2.99952044e-05,20.75,23.25
2022-05-04 12:28:49,dmg,375,2.98689502e-05,21.0,23.25
2022-05-04 12:29:40,dmg,375,3.00694683e-05,20.75,23.25
2022-05-04 12:30:30,dmg,375,2.99469302e-05,20.75,23.5
2022-05-04 12:31:20,dmg,375,2.99840649e-05,21.0,23.5
2022-05-04 12:32:10,dmg,375,2.99580697e-05,21.0,23.75
2022-05-04 12:33:00,dmg,375,2.98726663e-05,20.75,23.75
2022-05-04 12:33:50,dmg,375,2.99692092e-05,21.0,23.75
2022-05-04 12:34:40,dmg,375,2.99209405e-05,21.0,23.75
2022-05-04 12:35:30,dmg,375,2.99543608e-05,21.0,24.0
2022-05-04 12:36:20,dmg,375,2.99840649e-05,21.0,24.0
2022-05-04 12:37:10,dmg,375,2.99023704e-05,20.75,24.0
2022-05-04 12:38:00,dmg,375,3.00100601e-05,21.0,24.0
2022-05-04 12:38:50,dmg,375,2.99692092e-05,21.0,24.0
2022-05-04 12:39:40,dmg,375,3.00063457e-05,21.0,24.25
2022-05-04 12:40:30,dmg,375,3.00509055e-05,21.0,24.25
2022-05-04 12:41:20,dmg,375,2.97129918e-05,21.0,24.25
2022-05-04 12:42:10,dmg,375,2.96610087e-05,21.0,24.25
2022-05-04 12:43:00,dmg,375,2.98243904e-05,21.0,24.25
2022-05-04 12:43:50,dmg,375,2.98021114e-05,21.0,24.25
2022-05-04 12:44:40,dmg,375,2.97946863e-05,21.0,24.25
2022-05-04 12:45:30,dmg,375,2.98652412e-05,21.0,24.25
2022-05-04 12:46:20,dmg,375,2.9787263e-05,21.0,24.25
