Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2021-09-29 14:52:35,newfiber,375,1.46516321e-09,22.75,25.0
2021-09-29 14:52:48,newfiber,375,1.50231039e-09,22.5,25.0
2021-09-29 14:52:51,newfiber,375,4.42802593e-05,22.75,24.75
2021-09-29 14:52:54,newfiber,375,4.41985649e-05,22.75,24.75
2021-09-29 14:52:57,newfiber,375,4.43025383e-05,22.75,25.0
2021-09-29 14:53:00,newfiber,375,4.44919169e-05,22.75,25.0
2021-09-29 14:53:03,newfiber,375,4.44399338e-05,22.75,25.0
2021-09-29 14:53:07,newfiber,375,4.43545214e-05,22.75,25.0
2021-09-29 14:53:10,newfiber,375,4.42951132e-05,22.75,25.0
2021-09-29 14:53:13,newfiber,375,4.44919169e-05,22.75,25.0
2021-09-29 14:53:16,newfiber,375,4.46070226e-05,22.75,25.0
2021-09-29 14:53:19,newfiber,375,4.46590166e-05,22.75,25.0
2021-09-29 14:53:23,newfiber,375,4.47815546e-05,22.75,25.0
2021-09-29 14:53:26,newfiber,375,4.45624646e-05,22.75,25.0
2021-09-29 14:53:29,newfiber,375,4.46107406e-05,22.75,25.0
2021-09-29 14:53:32,newfiber,375,4.46404447e-05,22.75,25.0
2021-09-29 14:53:35,newfiber,375,4.44399338e-05,22.75,25.0
2021-09-29 14:53:38,newfiber,375,4.43916579e-05,22.75,25.0
2021-09-29 14:53:42,newfiber,375,4.48112587e-05,22.75,25.0
2021-09-29 14:53:45,newfiber,375,4.43916579e-05,22.75,25.0
2021-09-29 14:53:48,newfiber,375,4.44919169e-05,22.75,25.0
2021-09-29 14:53:51,newfiber,375,4.44065117e-05,22.75,25.0
2021-09-29 14:53:54,newfiber,375,4.45513251e-05,22.75,25.0
2021-09-29 14:53:58,newfiber,375,4.44250763e-05,22.75,25.0
2021-09-29 14:54:03,newfiber,375,4.44696379e-05,22.75,25.0
2021-09-29 14:54:08,newfiber,375,4.4399083e-05,22.75,25.0
2021-09-29 14:54:13,newfiber,375,4.47926941e-05,22.75,25.0
2021-09-29 14:54:18,newfiber,375,4.45847436e-05,22.75,25.0
2021-09-29 14:54:23,newfiber,375,4.44176512e-05,22.75,25.0
2021-09-29 14:54:28,newfiber,375,4.44362158e-05,22.75,25.0
2021-09-29 14:54:33,newfiber,375,4.47258535e-05,22.75,25.0
2021-09-29 14:54:38,newfiber,375,4.46404447e-05,22.75,25.0
2021-09-29 14:54:43,newfiber,375,4.45884616e-05,23.0,25.0
2021-09-29 14:54:48,newfiber,375,4.44659199e-05,23.0,25.0
2021-09-29 14:54:53,newfiber,375,4.44139368e-05,23.0,25.0
2021-09-29 14:54:58,newfiber,375,4.45996011e-05,22.75,25.0
2021-09-29 14:55:03,newfiber,375,4.45401856e-05,22.75,25.0
2021-09-29 14:55:08,newfiber,375,4.45290534e-05,23.0,25.0
2021-09-29 14:55:13,newfiber,375,4.42245582e-05,22.75,25.0
2021-09-29 14:55:18,newfiber,375,4.42876844e-05,23.0,25.25
2021-09-29 14:55:23,newfiber,375,4.43916579e-05,23.0,25.25
2021-09-29 14:55:28,newfiber,375,4.41428638e-05,23.0,25.0
2021-09-29 14:55:33,newfiber,375,4.43693789e-05,22.75,25.25
2021-09-29 14:55:38,newfiber,375,4.43693789e-05,23.0,25.0
2021-09-29 14:55:43,newfiber,375,4.44473553e-05,22.75,25.0
2021-09-29 14:55:48,newfiber,375,4.42356977e-05,23.0,25.25
2021-09-29 14:55:53,newfiber,375,4.44176512e-05,22.75,25.0
2021-09-29 14:55:58,newfiber,375,4.42654018e-05,23.0,25.25
2021-09-29 14:56:03,newfiber,375,4.43508143e-05,22.75,25.25
2021-09-29 14:56:08,newfiber,375,4.44250763e-05,22.75,25.25
2021-09-29 14:56:14,newfiber,375,4.44287944e-05,23.0,25.0
2021-09-29 14:56:19,newfiber,375,4.43248173e-05,22.75,25.0
2021-09-29 14:56:24,newfiber,375,4.42542623e-05,23.0,25.0
2021-09-29 14:56:29,newfiber,375,4.44659199e-05,22.75,25.25
2021-09-29 14:56:34,newfiber,375,4.41837146e-05,22.75,25.0
2021-09-29 14:56:39,newfiber,375,4.41874217e-05,23.0,25.25
2021-09-29 14:56:44,newfiber,375,4.41205848e-05,22.75,25.25
2021-09-29 14:56:49,newfiber,375,4.42468372e-05,23.0,25.25
2021-09-29 14:56:54,newfiber,375,4.43842328e-05,23.0,25.25
2021-09-29 14:56:59,newfiber,375,4.42913988e-05,23.0,25.25
2021-09-29 14:57:04,newfiber,375,4.41131597e-05,23.0,25.25
