Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2022-04-13 12:18:51,dmg,375,2.80085915e-05,21.0,22.75
2022-04-13 12:19:41,dmg,375,2.80160184e-05,21.0,22.75
2022-04-13 12:20:31,dmg,375,2.80531513e-05,21.0,23.0
2022-04-13 12:21:21,dmg,375,2.80382992e-05,21.0,23.0
2022-04-13 12:22:11,dmg,375,2.80494387e-05,21.0,23.0
2022-04-13 12:23:01,dmg,375,2.79825981e-05,21.0,23.0
2022-04-13 12:23:51,dmg,375,2.80308705e-05,21.0,23.25
2022-04-13 12:24:41,dmg,375,2.80420099e-05,21.0,23.25
2022-04-13 12:25:31,dmg,375,2.79194719e-05,21.0,23.25
2022-04-13 12:26:21,dmg,375,2.80382992e-05,21.0,23.25
2022-04-13 12:27:11,dmg,375,2.80680033e-05,21.0,23.5
2022-04-13 12:28:01,dmg,375,2.80902823e-05,21.0,23.5
2022-04-13 12:28:51,dmg,375,2.80457225e-05,21.0,23.5
2022-04-13 12:29:42,dmg,375,2.80494387e-05,21.0,23.5
2022-04-13 12:30:32,dmg,375,2.80271579e-05,21.0,23.5
2022-04-13 12:31:22,dmg,375,2.80531513e-05,21.0,23.5
2022-04-13 12:32:12,dmg,375,2.8034583e-05,21.0,23.5
2022-04-13 12:33:02,dmg,375,2.80308705e-05,21.0,23.5
2022-04-13 12:33:52,dmg,375,2.80902823e-05,21.25,23.5
2022-04-13 12:34:42,dmg,375,2.80642907e-05,21.0,23.5
2022-04-13 12:35:32,dmg,375,2.80271579e-05,21.0,23.75
2022-04-13 12:36:22,dmg,375,2.79863107e-05,21.25,23.75
2022-04-13 12:37:12,dmg,375,2.80457225e-05,21.0,23.75
2022-04-13 12:38:02,dmg,375,2.79194719e-05,21.0,24.0
2022-04-13 12:38:52,dmg,375,2.80011664e-05,21.25,24.0
2022-04-13 12:39:42,dmg,375,2.79417509e-05,21.25,24.0
2022-04-13 12:40:32,dmg,375,2.80308705e-05,21.25,24.0
2022-04-13 12:41:22,dmg,375,2.80605782e-05,21.25,24.0
2022-04-13 12:42:12,dmg,375,2.80605782e-05,21.25,24.0
2022-04-13 12:43:02,dmg,375,2.80123022e-05,21.25,24.0
2022-04-13 12:43:52,dmg,375,2.81088505e-05,21.25,24.0
2022-04-13 12:44:42,dmg,375,2.80160184e-05,21.25,24.0
2022-04-13 12:45:32,dmg,375,2.80717177e-05,21.25,24.0
2022-04-13 12:46:22,dmg,375,2.80531513e-05,21.25,24.0
2022-04-13 12:47:12,dmg,375,2.80865697e-05,21.25,24.0
2022-04-13 12:48:02,dmg,375,2.80828572e-05,21.25,24.0
2022-04-13 12:48:52,dmg,375,2.8034583e-05,21.25,24.0
2022-04-13 12:49:42,dmg,375,2.80123022e-05,21.25,24.0
2022-04-13 12:50:32,dmg,375,2.79640317e-05,21.25,24.25
2022-04-13 12:51:22,dmg,375,2.80754302e-05,21.25,24.0
2022-04-13 12:52:12,dmg,375,2.79640317e-05,21.25,24.25
2022-04-13 12:53:03,dmg,375,2.79603191e-05,21.25,24.25
2022-04-13 12:53:53,dmg,375,2.79009073e-05,21.25,24.25
2022-04-13 12:54:43,dmg,375,2.79454671e-05,21.25,24.25
2022-04-13 12:55:33,dmg,375,2.80791428e-05,21.25,24.25
2022-04-13 12:56:23,dmg,375,2.81014218e-05,21.25,24.25
2022-04-13 12:57:13,dmg,375,2.80308705e-05,21.25,24.25
2022-04-13 12:58:03,dmg,375,2.79417509e-05,21.25,24.25
2022-04-13 12:58:53,dmg,375,2.8019731e-05,21.25,24.25
2022-04-13 12:59:43,dmg,375,2.80234435e-05,21.25,24.5
2022-04-13 13:00:33,dmg,375,2.80382992e-05,21.25,24.5
2022-04-13 13:01:23,dmg,375,2.80902823e-05,21.25,24.5
2022-04-13 13:02:13,dmg,375,2.80754302e-05,21.25,24.5
2022-04-13 13:03:03,dmg,375,2.79751712e-05,21.0,24.25
2022-04-13 13:03:53,dmg,375,2.8056862e-05,21.25,24.25
2022-04-13 13:04:43,dmg,375,2.80085915e-05,21.0,24.25
2022-04-13 13:05:33,dmg,375,2.80642907e-05,21.0,24.0
2022-04-13 13:06:23,dmg,375,2.79231881e-05,21.25,24.25
2022-04-13 13:07:13,dmg,375,2.80271579e-05,21.25,24.25
2022-04-13 13:08:03,dmg,375,2.79863107e-05,21.25,24.25
2022-04-13 13:08:53,dmg,375,2.80457225e-05,21.25,24.25
2022-04-13 13:09:43,dmg,375,2.8034583e-05,21.25,24.25
2022-04-13 13:10:33,dmg,375,2.80308705e-05,21.25,24.25
2022-04-13 13:11:23,dmg,375,2.79900269e-05,21.25,24.5
2022-04-13 13:12:13,dmg,375,2.80605782e-05,21.25,24.5
2022-04-13 13:13:04,dmg,375,2.8034583e-05,21.25,24.5
2022-04-13 13:13:54,dmg,375,2.80123022e-05,21.25,24.5
2022-04-13 13:14:44,dmg,375,2.80457225e-05,21.25,24.75
2022-04-13 13:15:34,dmg,375,2.80457225e-05,21.25,24.75
2022-04-13 13:16:24,dmg,375,2.80605782e-05,21.25,24.75
2022-04-13 13:17:14,dmg,375,2.80234435e-05,21.25,25.0
2022-04-13 13:18:04,dmg,375,2.80531513e-05,21.25,25.0
2022-04-13 13:18:54,dmg,375,2.80605782e-05,21.25,25.0
2022-04-13 13:19:44,dmg,375,2.81088505e-05,21.0,24.75
2022-04-13 13:20:34,dmg,375,2.79937394e-05,21.0,24.75
2022-04-13 13:21:24,dmg,375,2.80085915e-05,21.0,24.75
2022-04-13 13:22:14,dmg,375,2.80382992e-05,21.0,24.75
2022-04-13 13:23:04,dmg,375,2.80939985e-05,21.0,24.75
2022-04-13 13:23:54,dmg,375,2.80828572e-05,21.0,24.75
2022-04-13 13:24:44,dmg,375,2.80531513e-05,21.0,25.0
2022-04-13 13:25:34,dmg,375,2.80234435e-05,21.25,25.0
2022-04-13 13:26:24,dmg,375,2.8056862e-05,21.25,25.0
2022-04-13 13:27:14,dmg,375,2.80085915e-05,21.25,25.0
2022-04-13 13:28:04,dmg,375,2.80048789e-05,21.25,25.0
2022-04-13 13:28:54,dmg,375,2.80902823e-05,21.0,25.0
2022-04-13 13:29:44,dmg,375,2.80308705e-05,21.25,25.0
2022-04-13 13:30:34,dmg,375,2.80382992e-05,21.25,25.0
2022-04-13 13:31:25,dmg,375,2.81014218e-05,21.0,25.25
2022-04-13 13:32:15,dmg,375,2.80828572e-05,21.25,25.0
2022-04-13 13:33:05,dmg,375,2.80382992e-05,21.25,25.25
2022-04-13 13:33:55,dmg,375,2.79640317e-05,21.25,25.0
2022-04-13 13:34:45,dmg,375,2.80865697e-05,21.25,25.25
2022-04-13 13:35:35,dmg,375,2.80902823e-05,21.25,25.0
2022-04-13 13:36:25,dmg,375,2.8019731e-05,21.25,25.0
2022-04-13 13:37:15,dmg,375,2.8019731e-05,21.25,25.0
2022-04-13 13:38:05,dmg,375,2.79306114e-05,21.25,25.0
2022-04-13 13:38:55,dmg,375,2.811999e-05,21.25,25.0
2022-04-13 13:39:45,dmg,375,2.80605782e-05,21.25,25.0
2022-04-13 13:40:35,dmg,375,2.79937394e-05,21.25,25.0
2022-04-13 13:41:25,dmg,375,2.80160184e-05,21.25,25.0
2022-04-13 13:42:15,dmg,375,2.80420099e-05,21.5,25.0
2022-04-13 13:43:05,dmg,375,2.81162775e-05,21.25,25.0
2022-04-13 13:43:55,dmg,375,2.80642907e-05,21.25,25.0
2022-04-13 13:44:45,dmg,375,2.80531513e-05,21.25,25.0
2022-04-13 13:45:35,dmg,375,2.80791428e-05,21.25,24.75
2022-04-13 13:46:25,dmg,375,2.79714586e-05,21.25,25.0
2022-04-13 13:47:15,dmg,375,2.80085915e-05,21.25,24.75
2022-04-13 13:48:05,dmg,375,2.80828572e-05,21.25,24.75
2022-04-13 13:48:55,dmg,375,2.80085915e-05,21.25,24.75
2022-04-13 13:49:45,dmg,375,2.8034583e-05,21.25,24.75
2022-04-13 13:50:35,dmg,375,2.79380401e-05,21.25,24.75
2022-04-13 13:51:25,dmg,375,2.79788874e-05,21.5,24.75
2022-04-13 13:52:15,dmg,375,2.80011664e-05,21.5,24.75
2022-04-13 13:53:05,dmg,375,2.80531513e-05,21.5,24.75
2022-04-13 13:53:55,dmg,375,2.80234435e-05,21.25,24.5
2022-04-13 13:54:45,dmg,375,2.79268988e-05,21.5,24.5
2022-04-13 13:55:35,dmg,375,2.79528922e-05,21.25,24.5
2022-04-13 13:56:25,dmg,375,2.80011664e-05,21.25,24.5
2022-04-13 13:57:16,dmg,375,2.80271579e-05,21.5,24.5
2022-04-13 13:58:06,dmg,375,2.79528922e-05,21.5,24.5
2022-04-13 13:58:56,dmg,375,2.79900269e-05,21.5,24.5
2022-04-13 13:59:46,dmg,375,2.80308705e-05,21.25,24.5
2022-04-13 14:00:36,dmg,375,2.79788874e-05,21.25,24.5
2022-04-13 14:01:26,dmg,375,2.80977092e-05,21.5,24.5
2022-04-13 14:02:16,dmg,375,2.80531513e-05,21.5,24.5
2022-04-13 14:03:06,dmg,375,2.79417509e-05,21.5,24.5
2022-04-13 14:03:56,dmg,375,2.79714586e-05,21.5,24.5
2022-04-13 14:04:46,dmg,375,2.80160184e-05,21.5,24.5
2022-04-13 14:05:36,dmg,375,2.80754302e-05,21.5,24.75
2022-04-13 14:06:26,dmg,375,2.79120468e-05,21.5,24.5
2022-04-13 14:07:16,dmg,375,2.80531513e-05,21.25,24.75
2022-04-13 14:08:06,dmg,375,2.79491796e-05,21.25,24.5
2022-04-13 14:08:56,dmg,375,2.80085915e-05,21.25,24.5
2022-04-13 14:09:46,dmg,375,2.79417509e-05,21.25,24.5
2022-04-13 14:10:36,dmg,375,2.79640317e-05,21.5,24.5
2022-04-13 14:11:26,dmg,375,2.78786283e-05,21.5,24.5
2022-04-13 14:12:16,dmg,375,2.80531513e-05,21.5,24.75
2022-04-13 14:13:06,dmg,375,2.79528922e-05,21.5,24.75
2022-04-13 14:13:56,dmg,375,2.79083324e-05,21.5,24.75
2022-04-13 14:14:46,dmg,375,2.79343276e-05,21.5,24.75
2022-04-13 14:15:36,dmg,375,2.79454671e-05,21.5,24.75
2022-04-13 14:16:26,dmg,375,2.79677461e-05,21.5,24.75
2022-04-13 14:17:16,dmg,375,2.79603191e-05,21.5,24.75
2022-04-13 14:18:07,dmg,375,2.79194719e-05,21.5,24.75
2022-04-13 14:18:57,dmg,375,2.79306114e-05,21.5,24.75
2022-04-13 14:19:47,dmg,375,2.79937394e-05,21.25,24.5
2022-04-13 14:20:37,dmg,375,2.80308705e-05,21.5,24.75
2022-04-13 14:21:27,dmg,375,2.80308705e-05,21.5,24.5
2022-04-13 14:22:17,dmg,375,2.78971911e-05,21.5,24.5
2022-04-13 14:23:07,dmg,375,2.8019731e-05,21.25,24.5
2022-04-13 14:23:57,dmg,375,2.79009073e-05,21.5,24.5
2022-04-13 14:24:47,dmg,375,2.79417509e-05,21.25,24.5
2022-04-13 14:25:37,dmg,375,2.79454671e-05,21.5,24.5
2022-04-13 14:26:27,dmg,375,2.80234435e-05,21.5,24.5
2022-04-13 14:27:17,dmg,375,2.79974502e-05,21.5,24.5
2022-04-13 14:28:07,dmg,375,2.79268988e-05,21.5,24.5
2022-04-13 14:28:57,dmg,375,2.79417509e-05,21.5,24.25
2022-04-13 14:29:47,dmg,375,2.79566066e-05,21.5,24.25
2022-04-13 14:30:37,dmg,375,2.79714586e-05,21.5,24.25
2022-04-13 14:31:27,dmg,375,2.79863107e-05,21.5,24.25
2022-04-13 14:32:17,dmg,375,2.79380401e-05,21.25,24.25
2022-04-13 14:33:07,dmg,375,2.79306114e-05,21.25,24.25
2022-04-13 14:33:57,dmg,375,2.80160184e-05,21.5,24.25
2022-04-13 14:34:47,dmg,375,2.8019731e-05,21.25,24.25
2022-04-13 14:35:37,dmg,375,2.80308705e-05,21.25,24.25
2022-04-13 14:36:27,dmg,375,2.78563475e-05,21.25,24.25
2022-04-13 14:37:17,dmg,375,2.79454671e-05,21.5,24.25
2022-04-13 14:38:07,dmg,375,2.80494387e-05,21.5,24.0
2022-04-13 14:38:57,dmg,375,2.8019731e-05,21.25,24.0
2022-04-13 14:39:47,dmg,375,2.79825981e-05,21.25,24.25
2022-04-13 14:40:37,dmg,375,2.79491796e-05,21.25,24.25
2022-04-13 14:41:27,dmg,375,2.79677461e-05,21.5,24.25
2022-04-13 14:42:17,dmg,375,2.79640317e-05,21.25,24.25
2022-04-13 14:43:07,dmg,375,2.79788874e-05,21.25,24.25
2022-04-13 14:43:57,dmg,375,2.79268988e-05,21.25,24.25
2022-04-13 14:44:47,dmg,375,2.79306114e-05,21.25,24.25
2022-04-13 14:45:37,dmg,375,2.79677461e-05,21.25,24.25
2022-04-13 14:46:27,dmg,375,2.79603191e-05,21.25,24.25
2022-04-13 14:47:18,dmg,375,2.79380401e-05,21.25,24.25
2022-04-13 14:48:08,dmg,375,2.79603191e-05,21.25,24.25
2022-04-13 14:48:58,dmg,375,2.79231881e-05,21.25,24.25
2022-04-13 14:49:48,dmg,375,2.79751712e-05,21.25,24.25
2022-04-13 14:50:38,dmg,375,2.79751712e-05,21.25,24.25
2022-04-13 14:51:28,dmg,375,2.80680033e-05,21.25,24.0
2022-04-13 14:52:18,dmg,375,2.80680033e-05,21.25,24.25
2022-04-13 14:53:08,dmg,375,2.80271579e-05,21.25,24.25
2022-04-13 14:53:58,dmg,375,2.79900269e-05,21.25,24.25
2022-04-13 14:54:48,dmg,375,2.80680033e-05,21.25,24.25
2022-04-13 14:55:38,dmg,375,2.8056862e-05,21.25,24.0
2022-04-13 14:56:28,dmg,375,2.79788874e-05,21.25,24.25
2022-04-13 14:57:18,dmg,375,2.79788874e-05,21.25,24.25
2022-04-13 14:58:08,dmg,375,2.81088505e-05,21.25,24.25
2022-04-13 14:58:58,dmg,375,2.80048789e-05,21.25,24.25
2022-04-13 14:59:48,dmg,375,2.8034583e-05,21.25,24.25
2022-04-13 15:00:38,dmg,375,2.79677461e-05,21.25,24.25
2022-04-13 15:01:28,dmg,375,2.80754302e-05,21.25,24.25
2022-04-13 15:02:18,dmg,375,2.80382992e-05,21.25,24.25
2022-04-13 15:03:08,dmg,375,2.8142269e-05,21.25,24.25
2022-04-13 15:03:58,dmg,375,2.80123022e-05,21.25,24.25
2022-04-13 15:04:48,dmg,375,2.80160184e-05,21.25,24.25
2022-04-13 15:05:38,dmg,375,2.79454671e-05,21.25,24.25
2022-04-13 15:06:29,dmg,375,2.80382992e-05,21.25,24.0
2022-04-13 15:07:19,dmg,375,2.80234435e-05,21.25,24.0
2022-04-13 15:08:09,dmg,375,2.80717177e-05,21.25,24.0
2022-04-13 15:08:59,dmg,375,2.80308705e-05,21.25,23.75
2022-04-13 15:09:49,dmg,375,2.81014218e-05,21.25,23.75
2022-04-13 15:10:39,dmg,375,2.80457225e-05,21.25,23.75
2022-04-13 15:11:29,dmg,375,2.80123022e-05,21.25,23.75
2022-04-13 15:12:19,dmg,375,2.80457225e-05,21.25,23.75
2022-04-13 15:13:09,dmg,375,2.811999e-05,21.25,23.75
2022-04-13 15:13:59,dmg,375,2.80791428e-05,21.25,24.0
2022-04-13 15:14:49,dmg,375,2.81162775e-05,21.25,24.0
2022-04-13 15:15:39,dmg,375,2.80977092e-05,21.25,24.0
2022-04-13 15:16:29,dmg,375,2.8056862e-05,21.25,24.0
2022-04-13 15:17:19,dmg,375,2.81088505e-05,21.25,23.75
2022-04-13 15:18:09,dmg,375,2.80123022e-05,21.25,24.0
2022-04-13 15:18:59,dmg,375,2.80420099e-05,21.25,24.0
2022-04-13 15:19:49,dmg,375,2.80680033e-05,21.0,24.0
2022-04-13 15:20:39,dmg,375,2.81237026e-05,21.25,24.25
2022-04-13 15:21:29,dmg,375,2.80271579e-05,21.0,24.25
2022-04-13 15:22:19,dmg,375,2.79640317e-05,21.25,24.5
2022-04-13 15:23:09,dmg,375,2.79454671e-05,21.25,24.5
2022-04-13 15:23:59,dmg,375,2.80271579e-05,21.25,24.5
2022-04-13 15:24:49,dmg,375,2.80382992e-05,21.25,24.75
2022-04-13 15:25:39,dmg,375,2.8034583e-05,21.25,24.75
2022-04-13 15:26:29,dmg,375,2.81125613e-05,21.25,24.75
2022-04-13 15:27:19,dmg,375,2.79528922e-05,21.25,25.0
2022-04-13 15:28:10,dmg,375,2.79528922e-05,21.25,25.0
2022-04-13 15:29:00,dmg,375,2.80605782e-05,21.0,24.75
2022-04-13 15:29:50,dmg,375,2.80791428e-05,21.25,25.0
2022-04-13 15:30:40,dmg,375,2.80642907e-05,21.25,24.75
2022-04-13 15:31:30,dmg,375,2.80085915e-05,21.25,24.75
2022-04-13 15:32:20,dmg,375,2.80160184e-05,21.25,24.75
2022-04-13 15:33:10,dmg,375,2.8127417e-05,21.25,24.5
2022-04-13 15:34:00,dmg,375,2.79751712e-05,21.25,24.5
2022-04-13 15:34:50,dmg,375,2.79528922e-05,21.25,24.5
2022-04-13 15:35:40,dmg,375,2.8034583e-05,21.25,24.5
2022-04-13 15:36:30,dmg,375,2.80271579e-05,21.25,24.5
2022-04-13 15:37:20,dmg,375,2.80605782e-05,21.25,24.5
2022-04-13 15:38:10,dmg,375,2.80160184e-05,21.25,24.5
2022-04-13 15:39:00,dmg,375,2.79566066e-05,21.25,24.5
2022-04-13 15:39:50,dmg,375,2.79491796e-05,21.25,24.5
2022-04-13 15:40:40,dmg,375,2.80531513e-05,21.25,24.5
2022-04-13 15:41:30,dmg,375,2.80308705e-05,21.25,24.25
2022-04-13 15:42:20,dmg,375,2.80642907e-05,21.25,24.25
