Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2022-04-22 16:20:17,dmg,375,3.8725903e-10,104.0,24.75
2022-04-22 16:21:07,dmg,375,2.75764522e-10,102.25,24.75
2022-04-22 16:21:57,dmg,375,5.35927247e-10,101.25,25.0
2022-04-22 16:22:47,dmg,375,6.10274609e-10,100.0,25.0
2022-04-22 16:23:37,dmg,375,4.61606392e-10,99.25,25.0
2022-04-22 16:24:27,dmg,375,4.24432711e-10,97.75,25.0
2022-04-22 16:25:17,dmg,375,2.75764522e-10,96.75,25.0
2022-04-22 16:26:08,dmg,375,4.24432711e-10,96.0,25.0
2022-04-22 16:26:58,dmg,375,2.01417147e-10,94.75,25.25
2022-04-22 16:27:48,dmg,375,5.35927247e-10,94.0,25.25
2022-04-22 16:28:38,dmg,375,4.98753538e-10,96.75,25.25
2022-04-22 16:29:28,dmg,375,4.24432711e-10,100.0,25.25
2022-04-22 16:30:18,dmg,375,5.35927247e-10,98.5,25.25
2022-04-22 16:31:08,dmg,375,2.38590842e-10,97.0,25.25
2022-04-22 16:31:58,dmg,375,4.61606392e-10,95.75,25.25
2022-04-22 16:32:48,dmg,375,5.731009e-10,94.5,25.5
2022-04-22 16:33:38,dmg,375,3.5008535e-10,96.5,25.5
2022-04-22 16:34:28,dmg,375,4.61606392e-10,100.75,25.5
2022-04-22 16:35:18,dmg,375,2.01417147e-10,99.0,25.5
2022-04-22 16:36:08,dmg,375,3.5008535e-10,97.0,25.5
2022-04-22 16:36:58,dmg,375,4.61606392e-10,95.75,25.5
2022-04-22 16:37:48,dmg,375,3.5008535e-10,94.5,25.5
2022-04-22 16:38:38,dmg,375,3.8725903e-10,98.5,25.5
2022-04-22 16:39:28,dmg,375,2.75764522e-10,100.75,25.75
2022-04-22 16:40:18,dmg,375,3.12911669e-10,98.5,25.75
2022-04-22 16:41:08,dmg,375,2.75764522e-10,96.75,25.75
2022-04-22 16:41:58,dmg,375,2.75764522e-10,95.25,25.75
2022-04-22 16:42:49,dmg,375,4.24432711e-10,94.75,25.75
2022-04-22 16:43:39,dmg,375,3.12911669e-10,100.25,25.75
2022-04-22 16:44:29,dmg,375,3.12911669e-10,100.25,25.75
2022-04-22 16:45:19,dmg,375,4.24432711e-10,98.0,25.75
2022-04-22 16:46:09,dmg,375,3.8725903e-10,96.5,25.75
2022-04-22 16:46:59,dmg,375,3.12911669e-10,95.0,25.75
2022-04-22 16:47:49,dmg,375,2.75764522e-10,97.25,25.75
2022-04-22 16:48:39,dmg,375,1.64243466e-10,101.0,25.75
2022-04-22 16:49:29,dmg,375,2.38590842e-10,99.5,25.75
2022-04-22 16:50:19,dmg,375,2.75764522e-10,97.25,25.75
2022-04-22 16:51:09,dmg,375,3.12911669e-10,95.75,25.75
2022-04-22 16:51:59,dmg,375,1.27069785e-10,94.75,25.75
2022-04-22 16:52:49,dmg,375,2.38590842e-10,99.25,25.75
2022-04-22 16:53:39,dmg,375,8.99226388e-11,100.5,26.0
2022-04-22 16:54:29,dmg,375,8.99226388e-11,98.5,25.75
2022-04-22 16:55:19,dmg,375,2.38590842e-10,96.5,26.0
2022-04-22 16:56:09,dmg,375,8.99226388e-11,95.25,26.0
2022-04-22 16:56:59,dmg,375,2.01417147e-10,96.5,26.0
2022-04-22 16:57:50,dmg,375,2.38590842e-10,101.25,26.0
2022-04-22 16:58:40,dmg,375,1.64243466e-10,99.75,26.0
2022-04-22 16:59:30,dmg,375,8.99226388e-11,97.75,26.0
2022-04-22 17:00:20,dmg,375,5.2748951e-11,96.0,26.0
2022-04-22 17:01:10,dmg,375,1.27069785e-10,94.75,26.0
2022-04-22 17:02:00,dmg,375,1.64243466e-10,98.25,25.75
2022-04-22 17:02:50,dmg,375,1.64243466e-10,101.0,25.75
2022-04-22 17:03:40,dmg,375,3.5008535e-10,98.5,25.75
2022-04-22 17:04:30,dmg,375,1.64243466e-10,96.75,26.0
2022-04-22 17:05:20,dmg,375,1.55752685e-11,95.5,26.0
2022-04-22 17:06:10,dmg,375,2.38590842e-10,96.0,26.0
2022-04-22 17:07:00,dmg,375,2.38590842e-10,101.0,26.0
2022-04-22 17:07:50,dmg,375,1.55752685e-11,99.75,26.0
