Date_Time,Serial#,Wavelength[nm],Power[W],Temperature_1[C],Temperature_2[C]
2022-01-21 13:55:29,dmgedfiber,375,3.35562581e-05,25.75,81.75
2022-01-21 13:56:20,dmgedfiber,375,3.36342382e-05,26.25,81.75
2022-01-21 13:57:09,dmgedfiber,375,3.36565172e-05,26.25,81.25
2022-01-21 13:57:59,dmgedfiber,375,3.35636832e-05,26.0,80.5
2022-01-21 13:58:49,dmgedfiber,375,3.36676567e-05,26.25,80.0
2022-01-21 13:59:39,dmgedfiber,375,3.35042751e-05,26.0,79.0
2022-01-21 14:00:29,dmgedfiber,375,3.33000389e-05,25.5,80.25
2022-01-21 14:01:19,dmgedfiber,375,3.33371754e-05,24.75,82.5
2022-01-21 14:02:09,dmgedfiber,375,3.3352022e-05,25.0,82.25
2022-01-21 14:02:59,dmgedfiber,375,3.3448574e-05,25.25,81.5
2022-01-21 14:03:49,dmgedfiber,375,3.32851851e-05,25.0,80.75
2022-01-21 14:04:39,dmgedfiber,375,3.3426295e-05,25.0,80.0
2022-01-21 14:05:29,dmgedfiber,375,3.33408825e-05,24.5,79.25
2022-01-21 14:06:19,dmgedfiber,375,3.33111784e-05,24.5,81.0
2022-01-21 14:07:10,dmgedfiber,375,3.33743046e-05,24.5,82.25
2022-01-21 14:08:00,dmgedfiber,375,3.31923547e-05,24.75,82.25
2022-01-21 14:08:50,dmgedfiber,375,3.32851851e-05,24.25,81.5
2022-01-21 14:09:40,dmgedfiber,375,3.33186035e-05,24.25,80.5
2022-01-21 14:10:30,dmgedfiber,375,3.31886404e-05,24.25,79.75
2022-01-21 14:11:20,dmgedfiber,375,3.32220588e-05,24.25,79.25
2022-01-21 14:12:10,dmgedfiber,375,3.31923547e-05,24.25,82.25
2022-01-21 14:13:00,dmgedfiber,375,3.33408825e-05,24.0,82.75
2022-01-21 14:13:50,dmgedfiber,375,3.33705939e-05,24.0,81.75
2022-01-21 14:14:40,dmgedfiber,375,3.33631651e-05,23.75,81.0
2022-01-21 14:15:30,dmgedfiber,375,3.3352022e-05,23.75,80.25
2022-01-21 14:16:20,dmgedfiber,375,3.32703348e-05,24.0,79.5
2022-01-21 14:17:10,dmgedfiber,375,3.33111784e-05,24.0,80.25
2022-01-21 14:18:00,dmgedfiber,375,3.3378019e-05,24.0,82.5
2022-01-21 14:18:50,dmgedfiber,375,3.33891585e-05,24.0,82.5
2022-01-21 14:19:40,dmgedfiber,375,3.3400298e-05,24.0,81.5
2022-01-21 14:20:30,dmgedfiber,375,3.33743046e-05,24.0,80.75
2022-01-21 14:21:20,dmgedfiber,375,3.32814743e-05,24.0,80.0
2022-01-21 14:22:10,dmgedfiber,375,3.33111784e-05,23.75,79.5
2022-01-21 14:23:00,dmgedfiber,375,3.33631651e-05,24.0,81.5
2022-01-21 14:23:50,dmgedfiber,375,3.32591953e-05,23.75,82.5
2022-01-21 14:24:40,dmgedfiber,375,3.3184926e-05,23.5,82.0
2022-01-21 14:25:30,dmgedfiber,375,3.32443415e-05,23.75,81.5
2022-01-21 14:26:20,dmgedfiber,375,3.33483149e-05,23.75,80.75
2022-01-21 14:27:10,dmgedfiber,375,3.32369164e-05,23.75,80.0
2022-01-21 14:28:00,dmgedfiber,375,3.3307464e-05,23.75,79.5
2022-01-21 14:28:50,dmgedfiber,375,3.32443415e-05,23.75,82.25
2022-01-21 14:29:40,dmgedfiber,375,3.34077231e-05,23.75,82.5
2022-01-21 14:30:31,dmgedfiber,375,3.3233202e-05,23.75,81.75
2022-01-21 14:31:21,dmgedfiber,375,3.3404016e-05,23.75,81.0
2022-01-21 14:32:11,dmgedfiber,375,3.3307464e-05,23.75,80.25
2022-01-21 14:33:01,dmgedfiber,375,3.3333461e-05,24.0,79.75
2022-01-21 14:33:51,dmgedfiber,375,3.33594544e-05,24.0,80.75
2022-01-21 14:34:41,dmgedfiber,375,3.33631651e-05,24.0,82.5
2022-01-21 14:35:31,dmgedfiber,375,3.32443415e-05,23.75,82.5
2022-01-21 14:36:21,dmgedfiber,375,3.33705939e-05,24.0,81.75
2022-01-21 14:37:11,dmgedfiber,375,3.3329743e-05,23.75,81.0
2022-01-21 14:38:01,dmgedfiber,375,3.33705939e-05,24.0,80.25
2022-01-21 14:38:51,dmgedfiber,375,3.33817334e-05,24.0,79.5
2022-01-21 14:39:41,dmgedfiber,375,3.3329743e-05,24.0,82.25
2022-01-21 14:40:31,dmgedfiber,375,3.32926138e-05,24.0,82.75
2022-01-21 14:41:21,dmgedfiber,375,3.32183445e-05,24.0,82.25
