run_number start_time end_time source_type source_pos life err_l err_h tpc1_life tpc1_err_l tpc1_err_h tpc2_life tpc2_err_l tpc2_err_h
10012 1542812273 1542828240 -9999 -9999 3387.62 312.752 376.014 3239.96 369.797 475.383 3634.54 509.977 706.239
10013 1542841206 1542855603 -9999 -9999 3123.88 268.117 320.896 3168.8 350.197 447.318 2040.26 281.328 384.312
10014 1542870006 1542884402 -9999 -9999 2797.3 216.942 255.594 2581.12 254.278 313.774 3046.5 352.641 456.827
10015 1542898806 1542913203 -9999 -9999 2654.59 202.579 239.528 2728.54 291.854 367.847 2563.62 262.508 327.949
10016 1542927606 1542942003 -9999 -9999 2592.03 197.603 231.56 2485.52 240.041 294.809 2702.51 306.757 391.574
10017 1542956407 1542970803 -9999 -9999 2735.94 202.194 231.859 2596.82 239.499 295.588 2904.33 319.801 407.821
10020 1543042806 1543057203 -9999 -9999 2170.68 137.48 155.16 2169.99 178.249 211.839 2166.35 201.464 245.11
10021 1543071606 1543086003 -9999 -9999 1912.68 102.084 113.767 2008.34 150.598 176.908 1792.37 129.337 150.179
10022 1543100406 1543114802 -9999 -9999 1884.86 103.076 117.518 1937.07 151.999 179.5 1826.06 135.096 157.394
10029 1543170418 1543187265 -9999 -9999 1619.88 70.2861 76.6554 1462.95 78.4723 87.7711 1819.75 123.618 142.532
10030 1543201205 1543215603 -9999 -9999 1543.57 71.7732 79.1534 1687.97 115.707 133.574 1415 86.1834 98.1303
10031 1543226406 1543240803 -9999 -9999 1428.06 64.4839 70.6821 1424.43 87.4169 99.6519 1438.2 92.4319 105.182
